stable_code,source_identity,name_en,name_ko,met_source_activity_description,met_source_activity_code,met_value,met_mapping_method_code,met_review_status_code,met_policy_version,mapping_rationale,source_file_path
overhead_triceps_stretch_mobility_stretch_bodyweight,0643,overhead triceps stretch,오버헤드 삼두근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
quadruped_quadriceps_stretch_mobility_stretch_bodyweight,1512,quadruped quadriceps stretch,네발 햄스트링 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
rear_deltoid_stretch_mobility_stretch_bodyweight,0669,rear deltoid stretch,후면 어깨 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
roller_back_stretch,2208,roller back stretch,폼롤러 등 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
roller_hip_stretch,2202,roller hip stretch,폼롤러 둔근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
runners_stretch_mobility_stretch_bodyweight,1585,runners stretch,러너스 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_calf_stretch_mobility_stretch_bodyweight,1390,seated calf stretch (male),앉아서 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_glute_stretch_mobility_stretch_bodyweight,1424,seated glute stretch,앉아서 둔근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_lower_back_stretch_mobility_stretch_bodyweight,0690,seated lower back stretch,앉아서 허리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_piriformis_stretch_mobility_stretch_bodyweight,2567,seated piriformis stretch,앉아서 이상근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_wide_angle_stretch_mobility_stretch_bodyweight,1587,seated wide angle pose sequence,앉아서 허벅지 안쪽 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
side_lying_quadriceps_stretch_mobility_stretch_bodyweight,0613,lying (side) quads stretch,옆으로 누워 햄스트링 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
side_wrist_pull_stretch_mobility_stretch_bodyweight,0721,side wrist pull stretch,손목 당기기 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
spine_stretch_mobility_stretch_bodyweight,1363,spine stretch,척추 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
standing_lateral_stretch_mobility_stretch_bodyweight,0794,standing lateral stretch,서서 옆구리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
triceps_stretch_mobility_stretch_bodyweight,0817,triceps stretch,삼두근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
upper_back_stretch_mobility_stretch_bodyweight,1365,upper back stretch,상부 등 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
wall_calf_stretch_mobility_stretch_bodyweight,1377,calf stretch with hands against wall,벽 짚고 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
world_greatest_stretch_mobility_stretch_bodyweight,1604,world greatest stretch,런지 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
wrist_circles_mobility_stretch_bodyweight,1428,wrist circles,손목 돌리기,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
kettlebell_swing,0549,kettlebell swing,케틀벨 스윙,Kettle bell swings,02058,9.8,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,운동명이 케틀벨 스윙과 직접 대응하고 원천 activity가 같은 수행 방식을 명시합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
stationary_bike_walk,0798,stationary bike walk,사이클,"Bicycling, stationary, general",01200,6.8,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF와 운동명이 고정식 자전거 페달링을 직접 나타내며 원천 activity와 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
behind_head_chest_stretch,1259,behind head chest stretch,머리 뒤 가슴 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
side_lying_floor_stretch,1358,side lying floor stretch,옆으로 누워 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
sphinx,1362,sphinx,스핑크스 자세,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
upward_facing_dog,1366,upward facing dog,업독,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
peroneals_stretch,1388,peroneals stretch,밴드 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
posterior_tibialis_stretch,1389,posterior tibialis stretch,밴드 정강이 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
standing_calves,1397,standing calves,스탠딩 카프 레이즈,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
calf_push_stretch_with_hands_against_wall,1407,calf push stretch with hands against wall,벽 짚고 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
iron_cross_stretch,1419,iron cross stretch,아이언 크로스 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
intermediate_hip_flexor_and_quad_stretch,1564,intermediate hip flexor and quad stretch,고관절 햄스트링 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
push_and_pull_bodyweight,1689,push and pull bodyweight,맨몸 푸시 앤 풀,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
walk_elliptical_cross_trainer,2141,walk elliptical cross trainer,일립티컬,"Elliptical trainer, moderate effort",02048,5.0,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF와 운동명이 일립티컬 트레이너 수행을 직접 나타내며 원천 activity와 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_hamstring_stretch,2203,foam roller hamstring stretch,폼롤러 햄스트링 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_thigh_stretch,2204,foam roller thigh stretch,폼롤러 허벅지 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_outer_thigh_stretch_2205,2205,foam roller outer thigh stretch,폼롤러 옆허벅지 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_calf_stretch_2206,2206,foam roller calf stretch,폼롤러 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_outer_thigh_stretch_2207,2207,foam roller outer thigh stretch,폼롤러 옆허벅지 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
foam_roller_calf_stretch_2209,2209,foam roller calf stretch,폼롤러 종아리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
rocking_frog_stretch,2571,rocking frog stretch,개구리 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
two_toe_touch_male,3231,two toe touch (male),투 토 터치,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
single_leg_bridge_with_outstretched_leg,3645,single leg bridge with outstretched leg,싱글 레그 브릿지,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
