stable_code,source_identity,name_en,name_ko,met_value,met_source_code,met_source_activity_code,met_source_activity_description,met_mapping_method_code,met_review_status_code,met_policy_version,mapping_rationale,source_file_path
bodyweight_reverse_crunch_core_brace_bodyweight,0872,reverse crunch,리버스 크런치,2.8,ADULT_COMPENDIUM_PDF_2024,02024,"Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 코어 운동이며 crunch curl-up plank 계열을 명시한 원천 활동과 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_split_squat_knee_dominant_bodyweight,2368,split squats,스플릿 스쿼트,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_standing_calf_raise_isolation_bodyweight,1373,bodyweight standing calf raise,스탠딩 카프 레이즈,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
butterfly_adductor_stretch_mobility_stretch_bodyweight,1494,butterfly yoga pose,나비자세,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cable_triceps_pushdown_isolation_cable_machine,0201,cable pushdown,케이블 트라이셉스 푸시다운 머신,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cardio_gait_bodyweight,3672,back and forth step,앞뒤 스텝,3.8,ADULT_COMPENDIUM_PDF_2024,02064,"Home exercise, general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF에서 장비 없이 제자리에서 앞뒤로 반복 스텝을 수행하는 형태가 확인되어 원천의 일반 홈트레이닝 activity와 수행 방식이 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cardio_gait_bodyweight_rex_000058,3636,high knee against wall,하이니,7.5,ADULT_COMPENDIUM_PDF_2024,02020,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,빠르거나 점프를 포함하는 맨몸 컨디셔닝으로 원천의 vigorous calisthenics와 동적 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cardio_gait_machine,3666,walking on incline treadmill,인클라인 트레드밀,10.3,ADULT_COMPENDIUM_HOME_2024,12255,"Running uphill, 4.5mph, 5% incline",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF와 원천 지시문에서 경사 트레드밀 위를 달리는 형태가 확인되어 원천의 4.5mph 5% 경사 오르막 달리기 activity와 수행 환경과 방식이 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cardio_gait_machine_rex_000071,2311,walking on stepmill,스텝밀 머신(천국의 계단),9.3,ADULT_COMPENDIUM_HOME_2024,02065,"Stair treadmill ergometer, general",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF와 운동명이 계단형 트레드밀 수행을 직접 나타내며 원천 activity와 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
chair_leg_extended_stretch_mobility_stretch_bodyweight,1548,chair leg extended stretch,시티드 레그 익스텐션 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
chest_front_shoulder_stretch_mobility_stretch_bodyweight,1271,chest and front of shoulder stretch,가슴·어깨 앞면 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
close_grip_push_up_horizontal_push_bodyweight,0259,close-grip push-up,클로즈 그립 푸시업,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_goblet_squat_knee_dominant_dumbbell,1760,dumbbell goblet squat,덤벨 고블릿 스쿼트,5.0,ADULT_COMPENDIUM_PDF_2024,02052,"Resistance (weight) training, squats, deadlift, slow or explosive effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량을 사용하는 스쿼트·데드리프트 또는 유사한 하체 저항운동으로 원천의 weight training activity와 동작 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_lateral_raise_isolation_dumbbell,0334,dumbbell lateral raise,덤벨 레터럴 레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_lateral_to_front_raise_isolation_dumbbell,0335,dumbbell lateral to front raise,덤벨 레터럴 투 프론트 레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_preacher_curl_isolation_dumbbell,0372,dumbbell preacher curl,덤벨 프리처 컬,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_rear_fly_isolation_dumbbell,0378,dumbbell rear fly,덤벨 리어 델트 플라이,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_shrug_isolation_dumbbell,0406,dumbbell shrug,덤벨 슈러그,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_standing_curl_isolation_dumbbell,0416,dumbbell standing biceps curl,덤벨 바이셉스 컬,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,2796,dumbbell step-up lunge,덤벨 스텝업 런지,5.0,ADULT_COMPENDIUM_PDF_2024,02052,"Resistance (weight) training, squats, deadlift, slow or explosive effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량을 사용하는 스쿼트·데드리프트 또는 유사한 하체 저항운동으로 원천의 weight training activity와 동작 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dynamic_chest_stretch_mobility_stretch_bodyweight,1167,dynamic chest stretch (male),다이내믹 가슴 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,1559,exercise ball hip flexor stretch,짐볼 고관절 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
hamstring_stretch_mobility_stretch_bodyweight,1511,hamstring stretch,햄스트링 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
hand_grip_squeeze_isolation_household_weight,0854,weighted standing hand squeeze,손 악력 쥐기,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
inverted_row_horizontal_pull_bodyweight,0499,inverted row,인버티드 로우,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
kneeling_lat_stretch_mobility_stretch_bodyweight,1346,kneeling lat stretch,무릎 꿇고 광배근 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
lat_pulldown_vertical_pull_cable_machine,0198,cable pulldown,랫풀다운 머신,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
lower_back_curl_core_brace_bodyweight,1352,lower back curl,로어 백 컬,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
neck_lateral_stretch_mobility_stretch_bodyweight,1403,neck side stretch,목 옆면 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
one_arm_wall_lats_isolation_bodyweight,1355,one arm against wall,벽 짚고 한 팔 광배근 스트레칭,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
one_leg_donkey_calf_raise_isolation_bodyweight,1386,one leg donkey calf raise,한발 동키 카프 레이즈,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
overhead_triceps_extension_isolation_barbell,0109,barbell standing overhead triceps extension,바벨 오버헤드 트라이셉스 익스텐션,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
overhead_triceps_stretch_mobility_stretch_bodyweight,0643,overhead triceps stretch,오버헤드 삼두근 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
push_up_horizontal_push_bodyweight,0662,push-up,푸시업,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
quadruped_quadriceps_stretch_mobility_stretch_bodyweight,1512,quadruped quadriceps stretch,네발 햄스트링 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
rear_deltoid_stretch_mobility_stretch_bodyweight,0669,rear deltoid stretch,후면 어깨 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
reverse_calf_raise_isolation_resistance_band,1000,band single leg reverse calf raise,리버스 카프 레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
reverse_wrist_curl_isolation_barbell,0082,barbell reverse wrist curl,바벨 리버스 리스트 컬,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
roller_back_stretch,2208,roller back stretch,폼롤러 등 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
roller_hip_stretch,2202,roller hip stretch,폼롤러 둔근 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
runners_stretch_mobility_stretch_bodyweight,1585,runners stretch,러너스 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
scapular_pull_up_vertical_pull_bodyweight_pull_up_bar,0688,scapular pull-up,스캐풀라 풀업,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_cable_row_horizontal_pull_cable_machine,0861,cable seated row,시티드 케이블 로우 머신,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_calf_raise_isolation_barbell,0088,barbell seated calf raise,바벨 시티드 카프 레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
seated_calf_stretch_mobility_stretch_bodyweight,1390,seated calf stretch (male),앉아서 종아리 스트레칭,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
