representative_id,exercise_name_ko,short_description,target_muscle,difficulty,how_to_steps,common_mistakes,source_ids,taxonomy_review_status,generation_basis_code,content_review_status
REX-000025,고블릿 스쿼트,고블릿 스쿼트 운동은 다리를 굽혔다 펴며 허벅지 앞쪽을 사용하는 운동입니다.,QUADRICEPS,BEGINNER,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]","[""발바닥이 들리거나 무릎이 안쪽으로 무너진다."",""반동으로 빠르게 내려갔다 올라온다."",""자신이 조절하기 어려운 깊이까지 내려간다.""]",gymvisual:1760|wger:203,TAXONOMY_APPROVED,TAXONOMY:KNEE_DOMINANT|NAME:DUMBBELL_GOBLET_SQUAT,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000026,레터럴 레이즈,레터럴 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,SHOULDERS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0334|gymvisual:0977,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:DUMBBELL_LATERAL_RAISE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000027,프리처 컬,프리처 컬 운동은 다른 부위의 움직임을 줄이고 팔 앞쪽을 집중해 사용하는 운동입니다.,BICEPS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0372|gymvisual:0402|gymvisual:0428|gymvisual:1646|gymvisual:1647|gymvisual:2293,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:DUMBBELL_PREACHER_CURL,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000028,리어 델트 플라이,리어 델트 플라이 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,SHOULDERS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0326|gymvisual:0348|gymvisual:0378|gymvisual:0379|gymvisual:0380,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:DUMBBELL_REAR_FLY,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000029,슈러그,슈러그 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,BACK,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0220|gymvisual:0304|gymvisual:0305|gymvisual:0329|gymvisual:0406|gymvisual:1018,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:DUMBBELL_SHRUG,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000030,덤벨 바이셉스 컬,덤벨 바이셉스 컬 운동은 다른 부위의 움직임을 줄이고 팔 앞쪽을 집중해 사용하는 운동입니다.,BICEPS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0416,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:DUMBBELL_STANDING_CURL,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000031,덤벨 스텝업 런지,덤벨 스텝업 런지 운동은 다리를 굽혔다 펴며 허벅지 앞쪽을 사용하는 운동입니다.,QUADRICEPS,INTERMEDIATE,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]","[""발바닥이 들리거나 무릎이 안쪽으로 무너진다."",""반동으로 빠르게 내려갔다 올라온다."",""자신이 조절하기 어려운 깊이까지 내려간다.""]",gymvisual:2796,TAXONOMY_APPROVED,TAXONOMY:KNEE_DOMINANT|NAME:DUMBBELL_STEP_UP_LUNGE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000032,다이내믹 가슴 스트레칭,다이내믹 가슴 스트레칭 운동은 가슴 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1167,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:DYNAMIC_CHEST_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000033,짐볼 고관절 굴근 스트레칭,짐볼 고관절 굴근 스트레칭 운동은 고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,INTERMEDIATE,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1559,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:EXERCISE_BALL_HIP_FLEXOR_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000034,햄스트링 스트레칭,햄스트링 스트레칭 운동은 무릎 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1511,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:HAMSTRING_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000035,손 악력 쥐기,손 악력 쥐기 운동은 다른 부위의 움직임을 줄이고 팔뚝을 집중해 사용하는 운동입니다.,FOREARMS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0854,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:HAND_GRIP_SQUEEZE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000036,고관절 굴근·대퇴사두근 스트레칭,고관절 굴근·대퇴사두근 스트레칭 운동은 무릎 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,INTERMEDIATE,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1564,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:HIP_FLEXOR_QUADRICEPS_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000037,인클라인 Y 레이즈,인클라인 Y 레이즈 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,BACK,INTERMEDIATE,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:3541,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:INCLINE_Y_RAISE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000038,인버티드 로우,인버티드 로우 운동은 팔꿈치를 뒤로 보내며 등을 사용하는 운동입니다.,BACK,INTERMEDIATE,"[""가슴을 편안히 열고 손잡이나 기구를 잡는다."",""어깨를 끌어올리지 않고 팔꿈치를 뒤로 보낸다."",""손잡이를 몸 가까이 가져온 뒤 잠시 멈춘다."",""팔을 천천히 펴며 처음 위치로 돌아온다.""]","[""어깨를 으쓱하며 당긴다."",""몸을 뒤로 젖혀 반동을 만든다."",""기구를 놓듯 팔을 빠르게 편다.""]",gymvisual:0498|gymvisual:0499|gymvisual:2298|wger:1927,TAXONOMY_APPROVED,TAXONOMY:HORIZONTAL_PULL|NAME:INVERTED_ROW,GENERATED_CONTENT_REVIEW_REQUIRED
