representative_id,exercise_name_ko,risk_area,safety_rule,avoid_condition,alternative_reason,source_ids,taxonomy_review_status,generation_basis_code,safety_review_status
REX-000013,리버스 크런치,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0242|gymvisual:0807|gymvisual:0872|gymvisual:0873|gymvisual:2206,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000014,러시안 트위스트,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0211|gymvisual:0687|gymvisual:0845|gymvisual:0846|gymvisual:2371,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000015,스플릿 스쿼트,무릎·발목,발바닥을 안정적으로 두고 조절할 수 있는 깊이와 속도로 수행한다.,무릎이나 발목의 불편이 커지거나 발을 안정적으로 딛기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:2368|wger:1706,TAXONOMY_APPROVED,MOVEMENT_PATTERN:KNEE_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000016,스탠딩 카프 레이즈,무릎·발목·고관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0409|gymvisual:0999|gymvisual:1369|gymvisual:1373|gymvisual:1386|gymvisual:1387,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000017,버터플라이 스트레칭,고관절 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1494,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000018,케이블 플라이,어깨·팔꿈치·손목,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0158|gymvisual:0170|gymvisual:0171|gymvisual:0185|gymvisual:0227|gymvisual:1262,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000019,케이블 트라이셉스 푸시다운,팔꿈치·손목,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0201,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000020,의자 다리 스트레칭,무릎 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1548,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000021,가슴·어깨 앞면 스트레칭,가슴·어깨 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1271,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000022,클로즈 그립 푸시업,어깨·팔꿈치·손목,"기구와 손목을 안정적으로 준비하고, 어깨를 으쓱하지 않는 범위에서 천천히 밀어낸다.",어깨·팔꿈치·손목의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0259,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HORIZONTAL_PUSH,DOMAIN_REVIEW_REQUIRED
REX-000023,사이드 크런치,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0691,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000024,데드버그,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0276,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000025,고블릿 스쿼트,무릎·발목,발바닥을 안정적으로 두고 조절할 수 있는 깊이와 속도로 수행한다.,무릎이나 발목의 불편이 커지거나 발을 안정적으로 딛기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1760|wger:203,TAXONOMY_APPROVED,MOVEMENT_PATTERN:KNEE_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000026,레터럴 레이즈,어깨·팔꿈치,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0334|gymvisual:0977,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000027,프리처 컬,팔꿈치·손목,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0372|gymvisual:0402|gymvisual:0428|gymvisual:1646|gymvisual:1647|gymvisual:2293,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000028,리어 델트 플라이,어깨·팔꿈치,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0326|gymvisual:0348|gymvisual:0378|gymvisual:0379|gymvisual:0380,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000029,슈러그,사용 부위와 인접 관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0220|gymvisual:0304|gymvisual:0305|gymvisual:0329|gymvisual:0406|gymvisual:1018,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000030,덤벨 바이셉스 컬,팔꿈치·손목,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0416,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000031,덤벨 스텝업 런지,무릎·발목,발바닥을 안정적으로 두고 조절할 수 있는 깊이와 속도로 수행한다.,무릎이나 발목의 불편이 커지거나 발을 안정적으로 딛기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:2796,TAXONOMY_APPROVED,MOVEMENT_PATTERN:KNEE_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000032,다이내믹 가슴 스트레칭,가슴 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1167,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000033,짐볼 고관절 굴근 스트레칭,고관절 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1559,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000034,햄스트링 스트레칭,무릎 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1511,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000035,손 악력 쥐기,손목·팔꿈치,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0854,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000036,고관절 굴근·대퇴사두근 스트레칭,무릎 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1564,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000037,인클라인 Y 레이즈,사용 부위와 인접 관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:3541,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000038,인버티드 로우,어깨·팔꿈치·손목,몸을 흔들지 않고 어깨를 내린 상태에서 조절 가능한 범위로 당긴다.,어깨·팔꿈치·손목의 불편이 커지거나 기구가 튕기면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0498|gymvisual:0499|gymvisual:2298|wger:1927,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HORIZONTAL_PULL,DOMAIN_REVIEW_REQUIRED
REX-000039,무릎 꿇고 광배근 스트레칭,상부 등 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1346,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000040,랫풀다운,어깨·팔꿈치·손목,몸을 흔들지 않고 어깨를 내린 상태에서 조절 가능한 범위로 당긴다.,어깨·팔꿈치·손목의 불편이 커지거나 기구가 튕기면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0198|wger:1470|wger:1510,TAXONOMY_APPROVED,MOVEMENT_PATTERN:VERTICAL_PULL,DOMAIN_REVIEW_REQUIRED
REX-000041,레그 프레스,무릎·발목,발바닥을 안정적으로 두고 조절할 수 있는 깊이와 속도로 수행한다.,무릎이나 발목의 불편이 커지거나 발을 안정적으로 딛기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,wger:371,TAXONOMY_APPROVED,MOVEMENT_PATTERN:KNEE_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000042,누워서 햄스트링 스트레칭,무릎 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1576,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000043,로어 백 컬,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1352,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000044,레그 익스텐션,무릎·발목·고관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0585|gymvisual:3007|wger:369,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000045,목 옆면 스트레칭,목 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0716|gymvisual:1403,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000046,벽 짚고 한 팔 광배근 스트레칭,사용 부위와 인접 관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1355,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000047,오버헤드 트라이셉스 익스텐션,팔꿈치·손목,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0109,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000048,오버헤드 삼두근 스트레칭,팔꿈치 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0643,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000049,체스트 프레스,어깨·팔꿈치·손목,"기구와 손목을 안정적으로 준비하고, 어깨를 으쓱하지 않는 범위에서 천천히 밀어낸다.",어깨·팔꿈치·손목의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,wger:1094|wger:1656|wger:537,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HORIZONTAL_PUSH,DOMAIN_REVIEW_REQUIRED
REX-000050,종아리 바깥쪽 스트레칭,발목과 발 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1388,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000051,플랭크 로테이션,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0464,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000052,푸시업,어깨·팔꿈치·손목,"기구와 손목을 안정적으로 준비하고, 어깨를 으쓱하지 않는 범위에서 천천히 밀어낸다.",어깨·팔꿈치·손목의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0662,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HORIZONTAL_PUSH,DOMAIN_REVIEW_REQUIRED
REX-000053,후면 어깨 스트레칭,어깨 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0669,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000054,리버스 카프 레이즈,무릎·발목·고관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0763|gymvisual:1000,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000055,리버스 리스트 컬,손목·팔꿈치,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0082|gymvisual:0368|gymvisual:0385|gymvisual:0994,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000056,앞뒤 스텝,발목·무릎·고관절,"주변 공간과 발을 디딜 곳을 확인하고, 조절 가능한 속도와 리듬으로 수행한다.",균형이 흔들리거나 어지럽고 숨이 지나치게 차면 즉시 멈추고 쉬어간다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:3672,TAXONOMY_APPROVED,MOVEMENT_PATTERN:GAIT,DOMAIN_REVIEW_REQUIRED
REX-000057,의자 잡고 무릎 들기,무릎·발목·고관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,kspo:46ea8fdbe34474fac354a051f63b114e0a6d20a21f71226ae0db5da216d14861,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000058,하이니,발목·무릎·고관절,"주변 공간과 발을 디딜 곳을 확인하고, 조절 가능한 속도와 리듬으로 수행한다.",균형이 흔들리거나 어지럽고 숨이 지나치게 차면 즉시 멈추고 쉬어간다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:3636,TAXONOMY_APPROVED,MOVEMENT_PATTERN:GAIT,DOMAIN_REVIEW_REQUIRED
REX-000059,점핑잭,발목·무릎·고관절,주변 공간을 확보하고 무릎을 살짝 굽혀 부드럽게 착지하며 조절 가능한 리듬으로 수행한다.,착지가 불안정하거나 발목·무릎·고관절의 불편이 커지면 점프를 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:3224,TAXONOMY_APPROVED,MOVEMENT_PATTERN:JUMP_PLYOMETRIC,DOMAIN_REVIEW_REQUIRED
REX-000060,줄넘기,발목·무릎·고관절,주변 공간을 확보하고 무릎을 살짝 굽혀 부드럽게 착지하며 조절 가능한 리듬으로 수행한다.,착지가 불안정하거나 발목·무릎·고관절의 불편이 커지면 점프를 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:2612,TAXONOMY_APPROVED,MOVEMENT_PATTERN:JUMP_PLYOMETRIC,DOMAIN_REVIEW_REQUIRED
