sample_id,case_id,category,user_context,routine_plan,decision_codes,personalization_score,feasibility_score,consistency_score,explanation_quality_score,groundedness_score,overall_quality_score,human_score,reviewer_confidence,reviewer_notes
HC-011,SQ-RAG-001,rag_retrieval,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1080초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 10회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 10회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
7. [MAIN] WALL_SIT | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 1세트 x 10회 | 휴식 30초 | HOME
9. [COOLDOWN] COOLDOWN_CALF_STRETCH | MODERATE | 1세트 x 10회 | 휴식 30초 | HOME","DURATION_WITHIN_TOLERANCE
HOME_BODYWEIGHT_COMPLIANT
RECOVERY_CEILING_COMPLIANT",4.1,4.2,4.3,4.0,4.4,4.2,,HIGH,
HC-012,SQ-CONFLICT-002,conflict,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 12
최소 휴식: 60초","조정: KEEP
예상 시간: 964초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 12회 | 휴식 60초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 1세트 x 12회 | 휴식 60초 | HOME
3. [MAIN] PLANK_FOREARM | LOW | 1세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 12회 | 휴식 60초 | HOME
5. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 12회 | 휴식 60초 | HOME
6. [MAIN] PLANK_FOREARM | LOW | 1세트 x 12회 | 휴식 60초 | HOME
7. [MAIN] DEAD_BUG | LOW | 2세트 x 12회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 12회 | 휴식 60초 | HOME
9. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 12회 | 휴식 60초 | HOME","DURATION_TARGET_FEASIBLE
EXCLUDED_EXERCISES_ABSENT
LOCATION_HOME_ENFORCED
PLAN_VALIDATED
RECOVERY_CEILING_ENFORCED",4.0,4.1,4.2,4.0,4.4,4.2,,HIGH,
HC-013,SQ-SAFETY-001,safety_critical,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 10
최소 휴식: 60초","조정: DOWNSHIFT
예상 시간: 1260초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 10회 | 휴식 60초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 2세트 x 10회 | 휴식 60초 | HOME
3. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 10회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 10회 | 휴식 60초 | HOME
5. [MAIN] DEAD_BUG | LOW | 2세트 x 10회 | 휴식 60초 | HOME
6. [MAIN] PLANK_FOREARM | LOW | 2세트 x 10회 | 휴식 60초 | HOME
7. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | LOW | 2세트 x 10회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 10회 | 휴식 60초 | HOME","BODYWEIGHT_ONLY
DURATION_WITHIN_TOLERANCE
GENERAL_FITNESS_PRESERVED
HOME_LOCATION
LOW_INTENSITY_RECOVERY_CEILING_APPLIED",3.9,3.8,3.7,3.6,3.5,3.4,,HIGH,
HC-014,SQ-RAG-002,rag_retrieval,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1164초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
6. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
7. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME","FEASIBILITY_CONFIRMED
INTEGRITY_VALIDATED
RECOVERY_CONSTRAINTS_APPLIED
TRAINING_PRESCRIPTIONS_KEPT",3.8,3.7,3.6,3.5,3.4,3.3,,HIGH,
HC-015,SQ-SIMPLE-001,simple,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1204초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CALF_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
9. [COOLDOWN] COOLDOWN_CHEST_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME","BODYWEIGHT_LOAD
DURATION_TARGET_MET
GENERAL_FITNESS
HOME
MODERATE_INTENSITY
RECOVERY_CEILING_COMPLIANT",4.5,4.4,4.3,4.2,4.1,4.0,,HIGH,
HC-016,SQ-COMPLEX-002,complex,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 4
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1290초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 10회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 2세트 x 10회 | 휴식 30초 | HOME
3. [MAIN] GLUTE_BRIDGE | MODERATE | 3세트 x 12회 | 휴식 45초 | HOME
4. [MAIN] DEAD_BUG | MODERATE | 3세트 x 12회 | 휴식 45초 | HOME
5. [MAIN] PLANK_FOREARM | MODERATE | 3세트 x 12회 | 휴식 45초 | HOME
6. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 10회 | 휴식 30초 | HOME
7. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | LOW | 2세트 x 10회 | 휴식 30초 | HOME","BODYWEIGHT_ONLY
GENERAL_FITNESS
HOME
RECOVERY_CEILING_APPLIED",4.3,4.2,4.1,4.0,4.4,4.2,,HIGH,
HC-017,SQ-FAILURE-002,failure_case,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1164초
1. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
3. [MAIN] GLUTE_BRIDGE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
5. [MAIN] DEAD_BUG | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
6. [COOLDOWN] COOLDOWN_CALF_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
7. [COOLDOWN] COOLDOWN_CHEST_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME","DURATION_WITHIN_TOLERANCE
GENERAL_FITNESS
HOME
RECOVERY_CEILING_COMPLIANT",4.2,4.1,4.3,4.0,4.4,4.2,,HIGH,
HC-018,SQ-CONFLICT-001,conflict,"목표: STRENGTH
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 10
최소 휴식: 90초","조정: KEEP
예상 시간: 1218초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 1세트 x 8회 | 휴식 90초 | HOME
2. [MAIN] SQUAT_BODYWEIGHT | LOW | 2세트 x 8회 | 휴식 90초 | HOME
3. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 8회 | 휴식 90초 | HOME
4. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 8회 | 휴식 90초 | HOME
5. [MAIN] LUNGE_FORWARD | LOW | 2세트 x 8회 | 휴식 90초 | HOME
6. [MAIN] WALL_SIT | LOW | 2세트 x 8회 | 휴식 90초 | HOME
7. [MAIN] PLANK_FOREARM | LOW | 2세트 x 8회 | 휴식 90초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 90초 | HOME","DURATION_20_MINUTES_FEASIBLE
LOCATION_HOME_FEASIBLE
RECOVERY_INTENSITY_LOW
RECOVERY_LOAD_BODYWEIGHT_ONLY
RECOVERY_MAX_REPS_PER_SET_10
RECOVERY_MAX_SETS_2
RECOVERY_MIN_REST_SECONDS_90",4.7,4.6,4.5,4.4,4.3,4.2,,HIGH,
HC-019,SQ-MODERATE-002,moderate,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1140초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 15회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 15회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | MODERATE | 1세트 x 15회 | 휴식 30초 | HOME
9. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 1세트 x 15회 | 휴식 30초 | HOME","DURATION_20_MINUTES_FEASIBLE
LOCATION_HOME_FEASIBLE
MANDATORY_EXERCISE_AVAILABLE
RECOVERY_BODYWEIGHT_ONLY
RECOVERY_CEILING_APPLY
RECOVERY_MANDATORY_EXERCISE_RETAIN
RECOVERY_REST_MINIMUM_30_SECONDS
RECOVERY_VOLUME_CAP_REPS_15
RECOVERY_VOLUME_CAP_SETS_3",4.2,4.1,4.0,4.3,4.4,4.2,,HIGH,
HC-020,SQ-FAILURE-001,failure_case,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1116초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] LUNGE_FORWARD | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] DEAD_BUG | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
8. [MAIN] PLANK_FOREARM | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
9. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
10. [COOLDOWN] COOLDOWN_CHEST_STRETCH | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME","DURATION_REQUEST_FEASIBLE
PREFER_MINIMUM_EFFECTIVE_VOLUME
PREFER_MINIMUM_REST_COMPLIANT
RECOVERY_CEILING_ENFORCE",4.1,4.2,4.3,4.0,4.4,4.2,,HIGH,
HC-021,SQ-SIMPLE-001,simple,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: DOWNSHIFT
예상 시간: 1197초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
2. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
3. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] SQUAT_BODYWEIGHT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
8. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
9. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
10. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
11. [MAIN] SQUAT_BODYWEIGHT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
12. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
13. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
14. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
15. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
16. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
17. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
18. [MAIN] SQUAT_BODYWEIGHT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
19. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
20. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
21. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 8회 | 휴식 30초 | HOME",,4.1,4.2,4.3,4.0,4.4,4.2,,HIGH,
HC-022,SQ-COMPLEX-002,complex,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 4
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 901초
1. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 1세트 x 13회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 2세트 x 15회 | 휴식 30초 | HOME
3. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] DEAD_BUG | MODERATE | 2세트 x 13회 | 휴식 60초 | HOME
5. [MAIN] PLANK_FOREARM | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
6. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
7. [COOLDOWN] COOLDOWN_CALF_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME","DURATION_WITHIN_TOLERANCE
GOAL_GENERAL_FITNESS
LOCATION_HOME
RECOVERY_MODERATE_BODYWEIGHT",3.6,3.7,3.8,3.9,4.0,4.1,,HIGH,
HC-023,SQ-FAILURE-001,failure_case,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: DOWNSHIFT
예상 시간: 1176초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 1세트 x 8회 | 휴식 30초 | HOME
3. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
8. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
9. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
10. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
11. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
12. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
13. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
14. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
15. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
16. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
17. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
18. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
19. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
20. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
21. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 8회 | 휴식 30초 | HOME",,4.1,4.2,4.3,4.0,4.4,4.2,,HIGH,
HC-024,SQ-FAILURE-001,failure_case,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1140초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 10회 | 휴식 60초 | HOME
7. [COOLDOWN] COOLDOWN_CHEST_STRETCH | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
8. [COOLDOWN] COOLDOWN_CALF_STRETCH | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME","DURATION_WITHIN_TOLERANCE
GENERAL_FITNESS_BALANCED
HOME_BODYWEIGHT_COMPLIANT
RECOVERY_CEILING_COMPLIANT",4.0,4.1,4.2,4.0,4.4,4.2,,HIGH,
