body_focus_code,catalog_version_code,default_rest_seconds,default_seconds_per_rep,default_transition_seconds,default_work_seconds,difficulty_code,difficulty_status,equipment_codes,form_cues_ko,instruction_content_version,instruction_summary_ko,location_codes,name_en,name_ko,primary_body_area_codes,primary_movement_pattern_code,production_eligible,recovery_eligible,representative_exercise_id,review_status_code,secondary_body_area_codes,source_identity,source_track,stable_code,timing_mode_code,training_type_code,canonical_status,canonical_decision_code,canonical_decision_source,canonical_decision_note_ko,v1_exercise_ids,record_type,allowed_experience_level_codes,fitt_template_ids_by_experience,fitt_mapping_exception_code,fitt_mapping_note,mapping_source_exercise_id,review_required
MOBILITY,exercise-catalog-v2.0.2-final,30,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['편안한 시작 자세를 잡고 주변 공간을 확인한다.', '숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다.', '당김이 느껴지는 범위에서 잠시 멈춘다.', '반동 없이 시작 자세로 천천히 돌아온다.']",representative-content-v0.1.0,의자 다리 스트레칭 운동은 무릎 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"['HOME', 'GYM']",chair leg extended stretch,시티드 레그 익스텐션 스트레칭,['KNEE'],MOBILITY_STRETCH,False,True,REX-000020,DOMAIN_APPROVED,['HIP'],1548,gymvisual,chair_leg_extended_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
MOBILITY,exercise-catalog-v2.0.2-final,30,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['편안한 시작 자세를 잡고 주변 공간을 확인한다.', '숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다.', '당김이 느껴지는 범위에서 잠시 멈춘다.', '반동 없이 시작 자세로 천천히 돌아온다.']",representative-content-v0.1.0,가슴·어깨 앞면 스트레칭 운동은 가슴·어깨 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"['HOME', 'GYM']",chest and front of shoulder stretch,가슴·어깨 앞면 스트레칭,"['CHEST', 'SHOULDER']",MOBILITY_STRETCH,False,True,REX-000021,DOMAIN_APPROVED,['UPPER_BACK'],1271,gymvisual,chest_front_shoulder_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
TRICEPS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['BODYWEIGHT'],"['손과 발 또는 기구를 안정적으로 준비한다.', '어깨가 으쓱하지 않게 팔을 천천히 밀어낸다.', '팔꿈치를 조절할 수 있는 범위에서 굽힌다.', '천천히 처음 위치로 돌아온다.']",representative-content-v0.1.0,클로즈 그립 푸시업 운동은 팔을 앞으로 밀어 팔 뒤쪽을 사용하는 운동입니다.,"['HOME', 'GYM']",close-grip push-up,클로즈 그립 푸시업,"['ELBOW', 'CHEST']",HORIZONTAL_PUSH,False,False,REX-000022,DOMAIN_APPROVED,"['SHOULDER', 'ABDOMEN']",0259,gymvisual,close_grip_push_up_horizontal_push_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CORE,exercise-catalog-v2.0.2-final,90,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,사이드 크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"['HOME', 'GYM']",seated side crunch (wall),사이드 크런치,['ABDOMEN'],CORE_BRACE,False,False,REX-000023,DOMAIN_APPROVED,['LOWER_BACK'],0691,gymvisual,crunch_variant_core_brace_bodyweight,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CORE,exercise-catalog-v2.0.2-final,90,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,데드버그 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"['HOME', 'GYM']",dead bug,데드버그,['ABDOMEN'],CORE_BRACE,False,False,REX-000024,DOMAIN_APPROVED,['LOWER_BACK'],0276,gymvisual,dead_bug_core_brace_bodyweight,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
QUADRICEPS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['발을 편하게 벌리고 양발에 무게를 나눈다.', '엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다.', '발바닥을 바닥에 두고 편한 범위까지만 내려간다.', '발로 바닥을 밀며 천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,고블릿 스쿼트 운동은 다리를 굽혔다 펴며 허벅지 앞쪽을 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell goblet squat,고블릿 스쿼트,"['KNEE', 'HIP']",KNEE_DOMINANT,False,False,REX-000025,DOMAIN_APPROVED,['ANKLE_FOOT'],1760,gymvisual,dumbbell_goblet_squat_knee_dominant_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
SHOULDERS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,레터럴 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell lateral raise,레터럴 레이즈,['SHOULDER'],ISOLATION,False,False,REX-000026,DOMAIN_APPROVED,['ELBOW'],0334,gymvisual,dumbbell_lateral_raise_isolation_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BICEPS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,프리처 컬 운동은 다른 부위의 움직임을 줄이고 팔 앞쪽을 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell preacher curl,프리처 컬,['ELBOW'],ISOLATION,False,False,REX-000027,DOMAIN_APPROVED,['WRIST_HAND'],0372,gymvisual,dumbbell_preacher_curl_isolation_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
SHOULDERS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,리어 델트 플라이 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell rear fly,리어 델트 플라이,['SHOULDER'],ISOLATION,False,False,REX-000028,DOMAIN_APPROVED,['UPPER_BACK'],0378,gymvisual,dumbbell_rear_fly_isolation_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BACK,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,슈러그 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell shrug,슈러그,['UPPER_BACK'],ISOLATION,False,False,REX-000029,DOMAIN_APPROVED,['SHOULDER'],0406,gymvisual,dumbbell_shrug_isolation_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BICEPS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['DUMBBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,덤벨 바이셉스 컬 운동은 다른 부위의 움직임을 줄이고 팔 앞쪽을 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",dumbbell standing biceps curl,덤벨 바이셉스 컬,['ELBOW'],ISOLATION,False,False,REX-000030,DOMAIN_APPROVED,['WRIST_HAND'],0416,gymvisual,dumbbell_standing_curl_isolation_dumbbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
