representative_exercise_id,stable_code_before,stable_code_after,field_name,old_value,new_value,alias_value,canonical_value,alias_type,migration_status,migration_target,evidence_reference,note_ko,change_type,decision_code,decision_status
REX-000090,spine_core_brace_core_brace_mat,spine_core_brace_core_brace_mat,name_en,네발기기 자세에서 팔 다리 들기,,네발기기 자세에서 팔 다리 들기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000090,integrated_exercise_review_updated.csv:kspo:ce0ab5a88d5e6c4243b2a910aa53ecff3aa783c716fa193711a1a6e44542b3a0,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000097,upper_back_isolation_isolation_resistance_band,upper_back_isolation_isolation_resistance_band,name_en,의자에 앉아 밴드 양옆으로 늘이기,,의자에 앉아 밴드 양옆으로 늘이기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000097,integrated_exercise_review_updated.csv:kspo:ab41f78cd9e548e1217b4460122ca0a1e9824cd570da589f1b37ffe86d6db937,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000103,barbell_decline_bent_arm_pullover_isolation_barbell,barbell_decline_bent_arm_pullover_isolation_barbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000103,integrated_exercise_review_updated.csv:gymvisual:0034,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000103,barbell_decline_bent_arm_pullover_isolation_barbell,barbell_decline_bent_arm_pullover_isolation_barbell,source_identity,v1:NEX-000002,0034,v1:NEX-000002,0034,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000103,integrated_exercise_review_updated.csv:gymvisual:0034,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000104,cable_incline_fly_on_stability_ball_isolation_stability_ball,cable_incline_fly_on_stability_ball_isolation_stability_ball,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000104,integrated_exercise_review_updated.csv:gymvisual:0170,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000104,cable_incline_fly_on_stability_ball_isolation_stability_ball,cable_incline_fly_on_stability_ball_isolation_stability_ball,source_identity,v1:NEX-000016,0170,v1:NEX-000016,0170,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000104,integrated_exercise_review_updated.csv:gymvisual:0170,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000104,cable_incline_fly_on_stability_ball_isolation_stability_ball,cable_incline_fly_on_stability_ball_isolation_stability_ball,display_name_ko,케이블 인클라인 플라이(메디신볼),케이블 인클라인 플라이(짐볼),케이블 인클라인 플라이(메디신볼),케이블 인클라인 플라이(짐볼),ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000104,integrated_exercise_review_updated.csv:gymvisual:0170,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000105,cable_lying_extension_pullover_with_rope_attachment_isolation_cable_machine,cable_lying_extension_pullover_with_rope_attachment_isolation_cable_machine,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000105,integrated_exercise_review_updated.csv:gymvisual:0184,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000105,cable_lying_extension_pullover_with_rope_attachment_isolation_cable_machine,cable_lying_extension_pullover_with_rope_attachment_isolation_cable_machine,source_identity,v1:NEX-000018,0184,v1:NEX-000018,0184,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000105,integrated_exercise_review_updated.csv:gymvisual:0184,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000106,cable_reverse_grip_straight_back_seated_high_row_isolation_cable_machine,cable_reverse_grip_straight_back_seated_high_row_isolation_cable_machine,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000106,integrated_exercise_review_updated.csv:gymvisual:0208,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000106,cable_reverse_grip_straight_back_seated_high_row_isolation_cable_machine,cable_reverse_grip_straight_back_seated_high_row_isolation_cable_machine,source_identity,v1:NEX-000022,0208,v1:NEX-000022,0208,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000106,integrated_exercise_review_updated.csv:gymvisual:0208,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000108,dumbbell_incline_rear_lateral_raise_isolation_dumbbell,dumbbell_incline_rear_lateral_raise_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000108,integrated_exercise_review_updated.csv:gymvisual:0326,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000108,dumbbell_incline_rear_lateral_raise_isolation_dumbbell,dumbbell_incline_rear_lateral_raise_isolation_dumbbell,source_identity,v1:NEX-000037,0326,v1:NEX-000037,0326,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000108,integrated_exercise_review_updated.csv:gymvisual:0326,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000109,dumbbell_lateral_to_front_raise_isolation_dumbbell,dumbbell_lateral_to_front_raise_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000109,integrated_exercise_review_updated.csv:gymvisual:0335,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000109,dumbbell_lateral_to_front_raise_isolation_dumbbell,dumbbell_lateral_to_front_raise_isolation_dumbbell,source_identity,v1:NEX-000040,0335,v1:NEX-000040,0335,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000109,integrated_exercise_review_updated.csv:gymvisual:0335,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000110,dumbbell_lying_rear_lateral_raise_isolation_dumbbell,dumbbell_lying_rear_lateral_raise_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000110,integrated_exercise_review_updated.csv:gymvisual:0348,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000110,dumbbell_lying_rear_lateral_raise_isolation_dumbbell,dumbbell_lying_rear_lateral_raise_isolation_dumbbell,source_identity,v1:NEX-000042,0348,v1:NEX-000042,0348,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000110,integrated_exercise_review_updated.csv:gymvisual:0348,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000111,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000111,integrated_exercise_review_updated.csv:gymvisual:0368,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000111,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,source_identity,v1:NEX-000045,0368,v1:NEX-000045,0368,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000111,integrated_exercise_review_updated.csv:gymvisual:0368,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000111,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,name_en,dumbbell over bench revers wrist curl,dumbbell over bench reverse wrist curl,dumbbell over bench revers wrist curl,dumbbell over bench reverse wrist curl,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000111,integrated_exercise_review_updated.csv:gymvisual:0368,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000111,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,equipment_codes,"[""DUMBBELL"",""BENCH""]","[""DUMBBELL""]","[""DUMBBELL"",""BENCH""]","[""DUMBBELL""]",ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000111,integrated_exercise_review_updated.csv:gymvisual:0368,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,EQUIPMENT_TAXONOMY_NORMALIZED,APPLIED
REX-000111,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,dumbbell_over_bench_revers_wrist_curl_isolation_dumbbell,location_codes,"[""GYM""]","[""HOME"",""GYM""]","[""GYM""]","[""HOME"",""GYM""]",ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000111,integrated_exercise_review_updated.csv:gymvisual:0368,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,LOCATION_DERIVED_FROM_LOAD_EQUIPMENT,APPLIED
REX-000112,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000112,integrated_exercise_review_updated.csv:gymvisual:0379,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000112,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,source_identity,v1:NEX-000049,0379,v1:NEX-000049,0379,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000112,integrated_exercise_review_updated.csv:gymvisual:0379,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000112,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,dumbbell_rear_lateral_raise_support_head_isolation_dumbbell,display_name_ko,덤벨 레터럴 레이즈,덤벨 리어 레터럴 레이즈(머리 지지),덤벨 레터럴 레이즈,덤벨 리어 레터럴 레이즈(머리 지지),ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000112,integrated_exercise_review_updated.csv:gymvisual:0379,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000113,dumbbell_rear_lateral_raise_isolation_dumbbell,dumbbell_rear_lateral_raise_isolation_dumbbell,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000113,integrated_exercise_review_updated.csv:gymvisual:0380,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000113,dumbbell_rear_lateral_raise_isolation_dumbbell,dumbbell_rear_lateral_raise_isolation_dumbbell,source_identity,v1:NEX-000050,0380,v1:NEX-000050,0380,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000113,integrated_exercise_review_updated.csv:gymvisual:0380,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000113,dumbbell_rear_lateral_raise_isolation_dumbbell,dumbbell_rear_lateral_raise_isolation_dumbbell,display_name_ko,덤벨 레터럴 레이즈,덤벨 리어 레터럴 레이즈,덤벨 레터럴 레이즈,덤벨 리어 레터럴 레이즈,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000113,integrated_exercise_review_updated.csv:gymvisual:0380,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,source_identity,v1:NEX-000065,0496,v1:NEX-000065,0496,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,display_name_ko,인버스 레그 컬,인버스 레그 컬(벤치 지지),인버스 레그 컬,인버스 레그 컬(벤치 지지),ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,equipment_codes,"[""BENCH""]","[""BODYWEIGHT""]","[""BENCH""]","[""BODYWEIGHT""]",ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,EQUIPMENT_TAXONOMY_NORMALIZED,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,location_codes,"[""GYM""]","[""HOME"",""GYM""]","[""GYM""]","[""HOME"",""GYM""]",ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,LOCATION_DERIVED_FROM_LOAD_EQUIPMENT,APPLIED
REX-000114,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,stable_code,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,inverse_leg_curl_bench_support_isolation_bench,inverse_leg_curl_bench_support_isolation_bodyweight,STABLE_CODE_MIGRATION,MIGRATION_REQUIRED_BEFORE_FK_CUTOVER,REX-000114,integrated_exercise_review_updated.csv:gymvisual:0496,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,STABLE_CODE_MIGRATION,STABLE_CODE_EQUIPMENT_MIGRATION,APPLIED
REX-000115,inverted_row_with_straps_isolation_stretch_strap,inverted_row_with_straps_isolation_stretch_strap,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000115,integrated_exercise_review_updated.csv:gymvisual:0498,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000115,inverted_row_with_straps_isolation_stretch_strap,inverted_row_with_straps_isolation_stretch_strap,source_identity,v1:NEX-000066,0498,v1:NEX-000066,0498,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000115,integrated_exercise_review_updated.csv:gymvisual:0498,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000117,self_assisted_inverse_leg_curl_on_floor_isolation_bodyweight,self_assisted_inverse_leg_curl_on_floor_isolation_bodyweight,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000117,integrated_exercise_review_updated.csv:gymvisual:0696,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000117,self_assisted_inverse_leg_curl_on_floor_isolation_bodyweight,self_assisted_inverse_leg_curl_on_floor_isolation_bodyweight,source_identity,v1:NEX-000081,0696,v1:NEX-000081,0696,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000117,integrated_exercise_review_updated.csv:gymvisual:0696,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000118,self_assisted_inverse_leg_curl_isolation_bodyweight,self_assisted_inverse_leg_curl_isolation_bodyweight,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000118,integrated_exercise_review_updated.csv:gymvisual:0697,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000118,self_assisted_inverse_leg_curl_isolation_bodyweight,self_assisted_inverse_leg_curl_isolation_bodyweight,source_identity,v1:NEX-000082,0697,v1:NEX-000082,0697,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000118,integrated_exercise_review_updated.csv:gymvisual:0697,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000118,self_assisted_inverse_leg_curl_isolation_bodyweight,self_assisted_inverse_leg_curl_isolation_bodyweight,display_name_ko,인버스 레그 컬,셀프 어시스트 인버스 레그 컬,인버스 레그 컬,셀프 어시스트 인버스 레그 컬,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000118,integrated_exercise_review_updated.csv:gymvisual:0697,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000119,smith_reverse_calf_raises_isolation_machine,smith_reverse_calf_raises_isolation_machine,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000119,integrated_exercise_review_updated.csv:gymvisual:0763,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000119,smith_reverse_calf_raises_isolation_machine,smith_reverse_calf_raises_isolation_machine,source_identity,v1:NEX-000085,0763,v1:NEX-000085,0763,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000119,integrated_exercise_review_updated.csv:gymvisual:0763,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
REX-000120,weighted_russian_twist_legs_up_isolation_bodyweight,weighted_russian_twist_legs_up_isolation_household_weight,source_track,v1,gymvisual,v1,gymvisual,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000120,integrated_exercise_review_updated.csv:gymvisual:0845,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_PROVENANCE_RESOLVED,APPLIED
