representative_exercise_id,source_key,source_name_en,row_status,instruction_alignment_status,training_type_decision,training_type_before,training_type_after,movement_pattern_decision,movement_pattern_before,movement_pattern_after,body_focus_decision,body_focus_before,body_focus_after,primary_body_area_decision,primary_body_area_before,primary_body_area_after,secondary_body_area_decision,secondary_body_area_before,secondary_body_area_after,difficulty_decision,difficulty_before,difficulty_after,equipment_decision,equipment_before,equipment_after,location_decision,location_before,location_after,timing_decision,timing_before,timing_after,instruction_summary_ko,form_cues_ko,review_required,review_required_codes,review_note_ko
REX-000112,gymvisual:0379,dumbbell rear lateral raise (support head),CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,SHOULDERS,SHOULDERS,RETAINED,"[""SHOULDER""]","[""SHOULDER""]",RETAINED,"[""ELBOW""]","[""ELBOW""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,안정적인 벤치에 이마를 가볍게 대어 머리를 지지한 상태에서 상체를 기울여 덤벨을 양옆으로 들어 올렸다가 천천히 내립니다.,"[""안정적인 벤치에 이마를 가볍게 대어 머리를 지지하고 덤벨을 양손에 잡는다."",""무릎을 약간 굽히고 등을 곧게 유지한 채 고관절에서 상체를 기울인다."",""팔꿈치를 약간 굽힌 채 팔을 양옆으로 들어 올린다."",""반동 없이 덤벨을 천천히 시작 위치로 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]","머리를 벤치에 지지하는 수행 정체성을 한국어 단계에 명시하고, 이마를 가볍게 대는 setup을 추가했다."
REX-000113,gymvisual:0380,dumbbell rear lateral raise,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,SHOULDERS,SHOULDERS,RETAINED,"[""SHOULDER""]","[""SHOULDER""]",RETAINED,"[""ELBOW""]","[""ELBOW""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,상체를 고관절에서 앞으로 기울여 덤벨을 양손에 들고 팔을 양옆으로 들어 올렸다가 천천히 내립니다.,"[""발을 어깨너비로 두고 손바닥이 몸을 향하도록 덤벨을 잡는다."",""무릎을 약간 굽히고 등을 곧게 유지한 채 상체를 기울인다."",""팔꿈치를 약간 굽힌 채 팔을 바닥과 평행한 높이까지 벌린다."",""어깨를 으쓱하지 말고 덤벨을 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000114,gymvisual:0496,inverse leg curl (bench support),CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,KNEE_FLEXION,KNEE_FLEXION,RETAINED,HAMSTRINGS,HAMSTRINGS,RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,"[""HIP""]","[""HIP""]",RETAINED,BEGINNER,BEGINNER,CORRECTED,"[""BENCH""]","[""BODYWEIGHT""]",CORRECTED,"[""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,벤치에 엎드려 엉덩이를 가장자리에 두고 다리를 뒤로 뻗은 뒤 무릎을 굽혀 발을 엉덩이 쪽으로 당겼다가 폅니다.,"[""벤치에 엎드려 엉덩이를 가장자리에 두고 벤치를 잡아 몸을 지지한다."",""상체를 고정한 채 양쪽 무릎을 천천히 굽힌다."",""발을 엉덩이 쪽으로 당긴 지점에서 잠시 멈춘다."",""다리를 통제하며 시작 위치까지 천천히 편다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000115,gymvisual:0498,inverted row with straps,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,HORIZONTAL_PULL,HORIZONTAL_PULL,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""ELBOW"",""SHOULDER""]","[""ELBOW"",""SHOULDER""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""STRETCH_STRAP""]","[""STRETCH_STRAP""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,가슴 높이에 고정한 스트랩을 잡고 몸을 기울여 가슴을 손잡이 쪽으로 당겼다가 천천히 돌아옵니다.,"[""스트랩 또는 서스펜션 트레이너를 가슴 높이에 고정한다."",""손잡이를 오버핸드 그립으로 잡고 발을 앞으로 걸어 몸을 기울인다."",""몸통을 일직선으로 유지하며 가슴을 손잡이 쪽으로 당긴다."",""견갑골을 모은 뒤 몸을 천천히 시작 위치로 되돌린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000116,gymvisual:0536,kettlebell lunge pass through,DELETED_FROM_ACTIVE_CATALOG,DELETED_BY_USER_REQUEST,DELETED,STRENGTH,,DELETED,KNEE_DOMINANT,,DELETED,GLUTES,,DELETED,"[""HIP"",""KNEE""]",,DELETED,"[""ANKLE_FOOT""]",,DELETED,INTERMEDIATE,,DELETED,"[""KETTLEBELL""]",,DELETED,"[""GYM""]",,DELETED,REPS,,,,False,[],원천 난이도가 ADVANCED이고 이번 catalog는 BEGINNER/INTERMEDIATE만 허용하므로 사용자 요청으로 활성 집합에서 삭제했다.
REX-000117,gymvisual:0696,self assisted inverse leg curl (on floor),CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,KNEE_FLEXION,KNEE_FLEXION,RETAINED,HAMSTRINGS,HAMSTRINGS,RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,"[""HIP""]","[""HIP""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""BODYWEIGHT""]","[""BODYWEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,바닥에 누워 무릎을 굽히고 엉덩이를 들어 올린 상태에서 발을 엉덩이 쪽으로 당겼다가 다리를 펴고 엉덩이를 내립니다.,"[""등을 대고 누워 무릎을 굽혀 발을 골반 너비로 둔다."",""엉덩이를 들어 올려 둔근과 허벅지 뒤쪽에 힘을 준다."",""엉덩이를 든 상태에서 발을 천천히 몸 쪽으로 당긴다."",""다리를 펴고 엉덩이를 바닥에 내린 뒤 반복한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000118,gymvisual:0697,self assisted inverse leg curl,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,KNEE_FLEXION,KNEE_FLEXION,RETAINED,HAMSTRINGS,HAMSTRINGS,RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,"[""HIP""]","[""HIP""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""BODYWEIGHT""]","[""BODYWEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,바닥이나 매트에 누워 손을 엉덩이 아래에 두고 무릎을 굽혀 허벅지를 가슴 쪽으로 당겼다가 천천히 내립니다.,"[""바닥이나 매트에 등을 대고 누워 다리를 뻗는다."",""손을 옆이나 엉덩이 아래에 두어 몸을 보조한다."",""무릎을 굽혀 발을 들어 허벅지를 가슴 쪽으로 당긴다."",""허리가 과하게 뜨지 않도록 다리를 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000119,gymvisual:0763,smith reverse calf raises,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CALVES,CALVES,RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""MACHINE""]","[""MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,스미스 머신 바를 지지하고 발 앞꿈치를 플랫폼에 올린 뒤 뒤꿈치를 들어 올렸다가 천천히 내립니다.,"[""스미스 머신 바를 어깨 바로 아래 높이로 조정한다."",""발 앞꿈치를 스텝 또는 플랫폼 가장자리에 두고 뒤꿈치를 밖으로 뺀다."",""등을 곧게 편 채 뒤꿈치를 가능한 높이까지 들어 올린다."",""정점에서 멈춘 뒤 뒤꿈치를 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000120,gymvisual:0845,weighted russian twist (legs up),CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,CORE_BRACE,CORE_BRACE,RETAINED,CORE,CORE,RETAINED,"[""ABDOMEN""]","[""ABDOMEN""]",RETAINED,"[""LOWER_BACK""]","[""LOWER_BACK""]",RETAINED,INTERMEDIATE,INTERMEDIATE,CORRECTED,"[""BODYWEIGHT""]","[""HOUSEHOLD_WEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",CORRECTED,DURATION,REPS,다리를 들어 올린 채 바닥에 앉아 중량을 양손으로 잡고 몸통을 좌우로 회전합니다.,"[""무릎을 굽히고 발을 바닥에서 들어 다리를 모은다."",""중량을 양손으로 가슴 앞에서 잡고 상체를 약간 뒤로 기울인다."",""몸통을 오른쪽으로 회전해 중량을 오른쪽 바닥 쪽으로 보낸다."",""중앙을 거쳐 왼쪽으로 회전하며 좌우를 번갈아 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]","발을 든 상태의 중량 러시안 트위스트는 제어가 필요하지만 이번 catalog 난이도 범위에 맞춰 INTERMEDIATE로 정제하고, 원천의 반복 수행에 맞춰 REPS로 변경했다."
REX-000121,gymvisual:0972,band bicycle crunch,REVIEW_REQUIRED,SOURCE_CONFLICT_REVIEW_REQUIRED,RETAINED,STRENGTH,STRENGTH,RETAINED,CORE_BRACE,CORE_BRACE,RETAINED,CORE,CORE,RETAINED,"[""ABDOMEN""]","[""ABDOMEN""]",RETAINED,"[""LOWER_BACK""]","[""LOWER_BACK""]",RETAINED,INTERMEDIATE,INTERMEDIATE,CORRECTED,"[""RESISTANCE_BAND""]","[""BODYWEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",CORRECTED,DURATION,REPS,등을 대고 누워 양쪽 무릎과 팔꿈치를 번갈아 가까이 가져오는 바이시클 크런치를 수행합니다.,"[""등을 대고 누워 손을 머리 뒤에 두고 무릎을 굽힌다."",""발을 들어 오른쪽 무릎을 가슴 쪽으로 당긴다."",""몸통을 회전해 왼쪽 팔꿈치를 오른쪽 무릎 쪽으로 가져간다."",""반대쪽도 번갈아 진행하며 허리를 과하게 꺾지 않는다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED"",""SOURCE_MEDIA_EQUIPMENT_IDENTITY_REVIEW_REQUIRED""]",원천 제목·이미지는 band지만 단계는 맨몸 바이시클 크런치다. canonical은 bodyweight bicycle crunch로 정리하고 band 표기는 source media/provenance review로 남겼다.
REX-000122,gymvisual:0985,band kneeling twisting crunch,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,CORE_BRACE,CORE_BRACE,RETAINED,CORE,CORE,RETAINED,"[""ABDOMEN""]","[""ABDOMEN""]",RETAINED,"[""LOWER_BACK""]","[""LOWER_BACK""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""RESISTANCE_BAND""]","[""RESISTANCE_BAND""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",CORRECTED,DURATION,REPS,허리 높이에 고정한 밴드를 잡고 무릎을 꿇은 채 몸통을 좌우로 회전하며 손을 반대쪽 엉덩이로 보냅니다.,"[""밴드를 허리 높이의 안정적인 고정 지점에 연결한다."",""고정 지점을 등지고 무릎을 꿇어 밴드를 양손으로 잡는다."",""팔꿈치를 가까이 둔 채 복부에 힘을 주고 몸통을 한쪽으로 회전한다."",""천천히 중앙으로 돌아온 뒤 반대쪽도 번갈아 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
