representative_group_key,representative_exercise_id,stable_code,representative_role,representative_selection_basis,display_name_before,display_name_after,identity_decision_code,identity_review_status,identity_review_codes,location_codes,home_default_recommendation,gym_default_recommendation,representative_location_separation,review_required
canonical:bodyweight_glute_bridge_hip_dominant_bodyweight,REX-000011,bodyweight_glute_bridge_hip_dominant_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,글루트 브리지,글루트 브리지,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,REX-000012,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,풀업,풀업,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_reverse_crunch_core_brace_bodyweight,REX-000013,bodyweight_reverse_crunch_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,리버스 크런치,리버스 크런치,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_russian_twist_core_brace_bodyweight,REX-000014,bodyweight_russian_twist_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,러시안 트위스트,러시안 트위스트,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_split_squat_knee_dominant_bodyweight,REX-000015,bodyweight_split_squat_knee_dominant_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,스플릿 스쿼트,스플릿 스쿼트,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_standing_calf_raise_isolation_bodyweight,REX-000016,bodyweight_standing_calf_raise_isolation_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,스탠딩 카프 레이즈,스탠딩 카프 레이즈,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:butterfly_adductor_stretch_mobility_stretch_bodyweight,REX-000017,butterfly_adductor_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,버터플라이 스트레칭,버터플라이 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cable_fly_isolation_cable_machine,REX-000018,cable_fly_isolation_cable_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,케이블 플라이,케이블 플라이,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cable_triceps_pushdown_isolation_cable_machine,REX-000019,cable_triceps_pushdown_isolation_cable_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,케이블 트라이셉스 푸시다운,케이블 트라이셉스 푸시다운,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:chair_leg_extended_stretch_mobility_stretch_bodyweight,REX-000020,chair_leg_extended_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,시티드 레그 익스텐션 스트레칭,시티드 레그 익스텐션 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:chest_front_shoulder_stretch_mobility_stretch_bodyweight,REX-000021,chest_front_shoulder_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,가슴·어깨 앞면 스트레칭,가슴·어깨 앞면 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:close_grip_push_up_horizontal_push_bodyweight,REX-000022,close_grip_push_up_horizontal_push_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,클로즈 그립 푸시업,클로즈 그립 푸시업,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:crunch_variant_core_brace_bodyweight,REX-000023,crunch_variant_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,사이드 크런치,사이드 크런치,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dead_bug_core_brace_bodyweight,REX-000024,dead_bug_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,데드버그,데드버그,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_goblet_squat_knee_dominant_dumbbell,REX-000025,dumbbell_goblet_squat_knee_dominant_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,고블릿 스쿼트,고블릿 스쿼트,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_lateral_raise_isolation_dumbbell,REX-000026,dumbbell_lateral_raise_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,레터럴 레이즈,레터럴 레이즈,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_preacher_curl_isolation_dumbbell,REX-000027,dumbbell_preacher_curl_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,프리처 컬,프리처 컬,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_rear_fly_isolation_dumbbell,REX-000028,dumbbell_rear_fly_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,리어 델트 플라이,리어 델트 플라이,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_shrug_isolation_dumbbell,REX-000029,dumbbell_shrug_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,슈러그,슈러그,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_standing_curl_isolation_dumbbell,REX-000030,dumbbell_standing_curl_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,덤벨 바이셉스 컬,덤벨 바이셉스 컬,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,REX-000031,dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,덤벨 스텝업 런지,덤벨 스텝업 런지,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:dynamic_chest_stretch_mobility_stretch_bodyweight,REX-000032,dynamic_chest_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,다이내믹 가슴 스트레칭,다이내믹 가슴 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,REX-000033,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,짐볼 고관절 스트레칭,짐볼 고관절 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:hamstring_stretch_mobility_stretch_bodyweight,REX-000034,hamstring_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,햄스트링 스트레칭,햄스트링 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:hand_grip_squeeze_isolation_household_weight,REX-000035,hand_grip_squeeze_isolation_household_weight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,손 악력 쥐기,손 악력 쥐기,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:hip_flexor_quadriceps_stretch_mobility_stretch_stretch_strap,REX-000036,hip_flexor_quadriceps_stretch_mobility_stretch_stretch_strap,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,고관절 굴근·대퇴사두근 스트레칭,고관절 굴근·대퇴사두근 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:incline_y_raise_isolation_dumbbell,REX-000037,incline_y_raise_isolation_dumbbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,인클라인 Y 레이즈,인클라인 Y 레이즈,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:inverted_row_horizontal_pull_bodyweight,REX-000038,inverted_row_horizontal_pull_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,인버티드 로우,인버티드 로우,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:kneeling_lat_stretch_mobility_stretch_bodyweight,REX-000039,kneeling_lat_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,무릎 꿇고 광배근 스트레칭,무릎 꿇고 광배근 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:lat_pulldown_vertical_pull_cable_machine,REX-000040,lat_pulldown_vertical_pull_cable_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,랫풀다운,랫풀다운,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:leg_press_knee_dominant_machine,REX-000041,leg_press_knee_dominant_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,레그 프레스,레그 프레스,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:lower_back_curl_core_brace_bodyweight,REX-000043,lower_back_curl_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,로어 백 컬,로어 백 컬,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:machine_leg_extension_isolation_machine,REX-000044,machine_leg_extension_isolation_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,레그 익스텐션,레그 익스텐션,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:neck_lateral_stretch_mobility_stretch_bodyweight,REX-000045,neck_lateral_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,목 옆면 스트레칭,목 옆면 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:one_arm_wall_lats_isolation_bodyweight,REX-000046,one_arm_wall_lats_isolation_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,벽 짚고 한 팔 광배근 스트레칭,벽 짚고 한 팔 광배근 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:overhead_triceps_extension_isolation_barbell,REX-000047,overhead_triceps_extension_isolation_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,오버헤드 트라이셉스 익스텐션,오버헤드 트라이셉스 익스텐션,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:overhead_triceps_stretch_mobility_stretch_bodyweight,REX-000048,overhead_triceps_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,오버헤드 삼두근 스트레칭,오버헤드 삼두근 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:pectorals_horizontal_push_horizontal_push_machine,REX-000049,pectorals_horizontal_push_horizontal_push_machine,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,체스트 프레스,체스트 프레스,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:peroneal_stretch_mobility_stretch_stretch_strap,REX-000050,peroneal_stretch_mobility_stretch_stretch_strap,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,종아리 바깥쪽 스트레칭,종아리 바깥쪽 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:plank_rotation_core_brace_bodyweight,REX-000051,plank_rotation_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,플랭크 로테이션,플랭크 로테이션,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:push_up_horizontal_push_bodyweight,REX-000052,push_up_horizontal_push_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,푸시업,푸시업,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:rear_deltoid_stretch_mobility_stretch_bodyweight,REX-000053,rear_deltoid_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,후면 어깨 스트레칭,후면 어깨 스트레칭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:reverse_calf_raise_isolation_resistance_band,REX-000054,reverse_calf_raise_isolation_resistance_band,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,리버스 카프 레이즈,리버스 카프 레이즈,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:reverse_wrist_curl_isolation_barbell,REX-000055,reverse_wrist_curl_isolation_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,리버스 리스트 컬,리버스 리스트 컬,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cardio_gait_bodyweight,REX-000056,cardio_gait_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,앞뒤 스텝,앞뒤 스텝,IDENTITY_RETAINED,RETAINED,[],"[""HOME""]",ELIGIBLE,NOT_ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:hip_flexion_isolation_bodyweight,REX-000057,hip_flexion_isolation_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,의자 잡고 무릎 들기,의자 잡고 무릎 들기,IDENTITY_RETAINED,RETAINED,[],"[""HOME""]",ELIGIBLE,NOT_ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cardio_gait_bodyweight_rex_000058,REX-000058,cardio_gait_bodyweight_rex_000058,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,하이니,하이니,IDENTITY_RETAINED,RETAINED,[],"[""HOME""]",ELIGIBLE,NOT_ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cardio_jump_plyometric_bodyweight,REX-000059,cardio_jump_plyometric_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,점핑잭,점핑잭,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cardio_jump_plyometric_jump_rope,REX-000060,cardio_jump_plyometric_jump_rope,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,줄넘기,줄넘기,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:kettlebell_swing_hip_dominant_kettlebell,REX-000061,kettlebell_swing_hip_dominant_kettlebell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,케틀벨 스윙,케틀벨 스윙,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:cardio_gait_bodyweight_rex_000062,REX-000062,cardio_gait_bodyweight_rex_000062,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,달리기,달리기,IDENTITY_RETAINED,RETAINED,[],"[""HOME""]",ELIGIBLE,NOT_ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
