source_exercise_id,source_exercise_name,alternative_exercise_id,alternative_exercise_name,alternative_type,goal_code,goal_match,movement_pattern_match,source_met_value,alternative_met_value,met_difference,difficulty_difference,reason,trigger_condition,direction,confidence,evidence_basis,review_status,production_eligible
NEX-000009,barbell straight leg deadlift,NEX-000064,hyperextension,CONSTRAINT,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=BODYWEIGHT|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000007->REX-000008; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000009,barbell straight leg deadlift,NEX-000192,kettlebell sumo deadlift,CONSTRAINT,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=KETTLEBELL, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000007->REX-000004; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000009,barbell straight leg deadlift,NEX-000162,low glute bridge on floor,INTENSITY,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,-1,운동 목적과 movement pattern을 유지하되 난이도와 MET가 낮은 운동으로 조절한다.,초보자·수행 실패 가능성·현재 체력 부족,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000007->REX-000011; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000010,barbell wrist curl,NEX-000141,dumbbell alternate preacher curl,CONSTRAINT,ISOLATION_ELBOW_FLEXION,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000102->REX-000027; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
NEX-000010,barbell wrist curl,NEX-000149,dumbbell standing zottman preacher curl,CONSTRAINT,ISOLATION_ELBOW_FLEXION,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000102->REX-000027; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
NEX-000011,biceps pull-up,NEX-000020,cable pulldown,INTENSITY,VERTICAL_PULL_STRENGTH,true,true,6.5,5.0,-1.5,-1,운동 목적과 movement pattern을 유지하되 난이도와 MET가 낮은 운동으로 조절한다.,초보자·수행 실패 가능성·현재 체력 부족,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=VERTICAL_PULL, source_equipment=BODYWEIGHT|PULL_UP_BAR, source_difficulty=INTERMEDIATE; alternative_pattern=VERTICAL_PULL, alternative_equipment=CABLE_MACHINE, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000012->REX-000040; MET_mapping=APPROVED(6.5->5.0)",APPROVED,false
NEX-000011,biceps pull-up,NEX-000189,1-Arm Half-Kneeling Lat Pulldown,RECOVERY,VERTICAL_PULL_STRENGTH,true,true,6.5,5.0,-1.5,,회복 상태가 낮을 때 동일 목표를 유지하면서 MET 부담이 낮은 운동으로 조절한다.,피로도 높음·근육통·수면 부족·이전 고강도 운동 수행,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=VERTICAL_PULL, source_equipment=BODYWEIGHT|PULL_UP_BAR, source_difficulty=INTERMEDIATE; alternative_pattern=VERTICAL_PULL, alternative_equipment=CABLE_MACHINE, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000012->REX-000040; MET_mapping=APPROVED(6.5->5.0)",APPROVED,false
NEX-000011,biceps pull-up,NEX-000190,Neutral Grip Lat Pulldown,RECOVERY,VERTICAL_PULL_STRENGTH,true,true,6.5,5.0,-1.5,,회복 상태가 낮을 때 동일 목표를 유지하면서 MET 부담이 낮은 운동으로 조절한다.,피로도 높음·근육통·수면 부족·이전 고강도 운동 수행,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=VERTICAL_PULL, source_equipment=BODYWEIGHT|PULL_UP_BAR, source_difficulty=INTERMEDIATE; alternative_pattern=VERTICAL_PULL, alternative_equipment=CABLE_MACHINE, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000012->REX-000040; MET_mapping=APPROVED(6.5->5.0)",APPROVED,false
NEX-000013,cable decline seated wide-grip row,NEX-000185,Incline Chest-Supported Dumbbell Row,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000076; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000013,cable decline seated wide-grip row,NEX-000199,Inverted Lat Pull Down,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=PULL_UP_BAR, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000038; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000014,cable floor seated wide-grip row,NEX-000185,Incline Chest-Supported Dumbbell Row,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000076; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000014,cable floor seated wide-grip row,NEX-000199,Inverted Lat Pull Down,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=PULL_UP_BAR, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000038; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000015,cable high row (kneeling),NEX-000185,Incline Chest-Supported Dumbbell Row,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000076; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000015,cable high row (kneeling),NEX-000199,Inverted Lat Pull Down,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=PULL_UP_BAR, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000038; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000018,cable lying extension pullover (with rope attachment),NEX-000113,one arm against wall,CONSTRAINT,ISOLATION_LAT_PULL,true,true,5.0,3.0,-2.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=CABLE_MACHINE|BENCH|ROPE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=ISOLATION, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000006->REX-000046; MET_mapping=APPROVED(5.0->3.0)",APPROVED,false
NEX-000021,cable pushdown,NEX-000008,barbell standing overhead triceps extension,RECOVERY,ISOLATION_ELBOW_EXTENSION,true,true,5.0,3.5,-1.5,0,회복 상태가 낮을 때 동일 목표를 유지하면서 MET 부담이 낮은 운동으로 조절한다.,피로도 높음·근육통·수면 부족·이전 고강도 운동 수행,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=ISOLATION, source_equipment=CABLE_MACHINE, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=BARBELL, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000019->REX-000047; MET_mapping=APPROVED(5.0->3.5)",APPROVED,false
NEX-000022,cable reverse-grip straight back seated high row,NEX-000185,Incline Chest-Supported Dumbbell Row,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000076; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000022,cable reverse-grip straight back seated high row,NEX-000199,Inverted Lat Pull Down,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=PULL_UP_BAR, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000038; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000023,cable russian twists (on stability ball),NEX-000094,reverse crunch,CONSTRAINT,CORE_STABILITY,true,true,5.0,3.0,-2.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=CABLE_MACHINE|STABILITY_BALL, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000014->REX-000013; MET_mapping=APPROVED(5.0->3.0)",APPROVED,false
NEX-000023,cable russian twists (on stability ball),NEX-000112,lower back curl,CONSTRAINT,CORE_STABILITY,true,true,5.0,2.8,-2.2,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=CABLE_MACHINE|STABILITY_BALL, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000014->REX-000043; MET_mapping=APPROVED(5.0->2.8)",APPROVED,false
NEX-000024,cable seated wide-grip row,NEX-000185,Incline Chest-Supported Dumbbell Row,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000076; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000024,cable seated wide-grip row,NEX-000199,Inverted Lat Pull Down,CONSTRAINT,HORIZONTAL_PULL_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HORIZONTAL_PULL, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HORIZONTAL_PULL, alternative_equipment=PULL_UP_BAR, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000079->REX-000038; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
NEX-000027,cable tuck reverse crunch,NEX-000029,crunch floor,CONSTRAINT,CORE_STABILITY,true,true,3.8,3.0,-0.8,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000013->REX-000009; MET_mapping=APPROVED(3.8->3.0)",APPROVED,false
NEX-000027,cable tuck reverse crunch,NEX-000112,lower back curl,CONSTRAINT,CORE_STABILITY,true,true,3.8,2.8,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=CABLE_MACHINE, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000013->REX-000043; MET_mapping=APPROVED(3.8->2.8)",APPROVED,false
NEX-000030,dead bug,NEX-000094,reverse crunch,RECOVERY,CORE_STABILITY,true,true,5.0,3.0,-2.0,0,회복 상태가 낮을 때 동일 목표를 유지하면서 MET 부담이 낮은 운동으로 조절한다.,피로도 높음·근육통·수면 부족·이전 고강도 운동 수행,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=BODYWEIGHT, source_difficulty=BEGINNER; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000024->REX-000013; MET_mapping=APPROVED(5.0->3.0)",APPROVED,false
NEX-000030,dead bug,NEX-000112,lower back curl,RECOVERY,CORE_STABILITY,true,true,5.0,2.8,-2.2,,회복 상태가 낮을 때 동일 목표를 유지하면서 MET 부담이 낮은 운동으로 조절한다.,피로도 높음·근육통·수면 부족·이전 고강도 운동 수행,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=BODYWEIGHT, source_difficulty=BEGINNER; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000024->REX-000043; MET_mapping=APPROVED(5.0->2.8)",APPROVED,false
NEX-000031,decline crunch,NEX-000094,reverse crunch,CONSTRAINT,CORE_STABILITY,true,true,3.8,3.0,-0.8,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=BODYWEIGHT|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000009->REX-000013; MET_mapping=APPROVED(3.8->3.0)",APPROVED,false
NEX-000031,decline crunch,NEX-000112,lower back curl,CONSTRAINT,CORE_STABILITY,true,true,3.8,2.8,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=CORE_BRACE, source_equipment=BODYWEIGHT|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=CORE_BRACE, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000009->REX-000043; MET_mapping=APPROVED(3.8->2.8)",APPROVED,false
NEX-000032,dumbbell deadlift,NEX-000104,band stiff leg deadlift,CONSTRAINT,POSTERIOR_CHAIN_STRENGTH,true,true,5.0,5.0,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=DUMBBELL, source_difficulty=REVIEW_REQUIRED; alternative_pattern=HIP_DOMINANT, alternative_equipment=RESISTANCE_BAND, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000004->REX-000007; MET_mapping=APPROVED(5.0->5.0)",APPROVED,false
