body_focus_code,default_rest_seconds,default_seconds_per_rep,default_transition_seconds,default_work_seconds,difficulty_code,equipment_codes,family_code,form_cues_ko,form_cues_review_status,form_cues_source,general_pool_included,instruction_content_version,instruction_summary_ko,location_codes,name_en,name_ko,primary_body_area_codes,primary_movement_pattern_code,record_type,recovery_eligible,representative_stable_code,review_status_code,secondary_body_area_codes,safety_relevant_body_area_codes,source_identity,source_track,stable_code,timing_mode_code,training_type_code,met_value,met_source_code,met_source_activity_code,met_mapping_method_code,met_review_status_code,met_policy_version
CORE,60,4,15,,BEGINNER,BODYWEIGHT,BODYWEIGHT_REVERSE_CRUNCH,목을 손으로 당기지 말고 시선은 편안히 위쪽에 둡니다|허리가 과하게 뜨거나 처지지 않게 배 주변에 힘을 줍니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 팔을 양옆으로 펼친 상태로 등을 바닥에 대고 누웁니다 2. 복부에 힘을 주고 골반을 바닥에서 들어올리면서 무릎을 가슴 쪽으로 모아냅니다 3. 가장 높은 지점에서 순간 멈춘 후 천천히 골반을 시작 자세로 낮춥니다,GYM|HOME,reverse crunch,리버스 크런치,hip flexors,CORE_BRACE,REPRESENTATIVE,False,,DOMAIN_APPROVED,,UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|ABDOMEN,0872,gymvisual,bodyweight_reverse_crunch_core_brace_bodyweight,REPS,STRENGTH,2.8,ADULT_COMPENDIUM_PDF_2024,02024,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
QUADRICEPS,60,4,15,,BEGINNER,BODYWEIGHT,SPLIT_SQUAT,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨 너비만큼 벌려진 위치에 서 있습니다 2. 앞다리의 허벅지가 바닥과 평행해지고 뒷다리의 무릎이 바닥 바로 위에 올 때까지 계속 내립니다 3. 잠깐 멈추고 앞다리의 뒤꿈치로 밀어 시작 자세로 돌아옵니다,GYM|HOME,split squats,스플릿 스쿼트,glutes,KNEE_DOMINANT,VARIANT,False,smith_single_leg_split_squat,DOMAIN_APPROVED,hamstrings|calves,LOWER_BACK|HIP|KNEE|ANKLE_FOOT,2368,gymvisual,bodyweight_split_squat_knee_dominant_bodyweight,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CALVES,60,4,15,,BEGINNER,BODYWEIGHT,CALF_RAISE_STANDING,발끝과 무릎이 같은 방향을 향하게 합니다|내려올 때 발바닥 전체를 바닥에 안정적으로 둡니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨 너비만큼 벌려 서고 손가락을 앞으로 향합니다 2. 천천히 발뒤꿈치를 바닥에서 들어 올리면서 발 앞부분으로 체중을 옮깁니다 3. 가장 높은 지점에서 잠시 멈춘 후 천천히 발뒤꿈치를 시작 자세로 내립니다,GYM|HOME,bodyweight standing calf raise,스탠딩 카프 레이즈,ankles,ISOLATION,REPRESENTATIVE,False,,DOMAIN_APPROVED,feet,HIP|KNEE|ANKLE_FOOT,1373,gymvisual,bodyweight_standing_calf_raise_isolation_bodyweight,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,BUTTERFLY_ADDUCTOR_STRETCH,무릎을 손으로 억지로 누르지 않습니다|허리를 둥글게 말아 과하게 숙이지 않습니다,APPROVED,data/videos/1494-bWlZvXh.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 바닥에 앉아 발바닥을 맞대고 발을 몸 쪽으로 당깁니다 2. 등을 길게 세운 채 상체를 앞으로 기울였다가 편안한 범위에서 돌아옵니다,GYM|HOME,butterfly yoga pose,나비자세,hamstrings,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,groin,WRIST_HAND|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|CHEST,1494,gymvisual,butterfly_adductor_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
TRICEPS,90,4,15,,INTERMEDIATE,CABLE_MACHINE,CABLE_TRICEPS_PUSHDOWN,팔꿈치와 손목을 과하게 꺾지 않게 합니다|몸통을 흔들어 반동을 만들지 말고 천천히 밀고 돌아옵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 머신을 향해 어깨 너비로 발을 벌리고 무릎을 약간 구부립니다 2. 팔꿈치가 완전히 펴질 때까지 바를 아래로 밉니다 3. 잠깐 멈춘 후 천천히 바를 시작 자세로 돌립니다,GYM,cable pushdown,케이블 트라이셉스 푸시다운 머신,forearms,ISOLATION,REPRESENTATIVE,False,,DOMAIN_APPROVED,,SHOULDER|ELBOW|WRIST_HAND,0201,gymvisual,cable_triceps_pushdown_isolation_cable_machine,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CARDIO,60,,15,60,BEGINNER,BODYWEIGHT,CARDIO_GAIT_BODYWEIGHT,발바닥 전체로 지면이나 발판을 부드럽게 디딥니다|무릎이 안쪽으로 무너지지 않게 발끝과 같은 방향으로 움직입니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨너비로 벌리고 섭니다 2. 오른쪽 발을 앞으로 내디뎠다가 제자리로 돌아옵니다 3. 왼쪽 발도 같은 순서로 앞뒤로 움직입니다,GYM|HOME,back and forth step,앞뒤 스텝,quadriceps,GAIT,REPRESENTATIVE,False,,DOMAIN_APPROVED,hamstrings|glutes|calves,UPPER_BACK|HIP|KNEE|ANKLE_FOOT,3672,gymvisual,cardio_gait_bodyweight,DURATION,CARDIO,3.8,ADULT_COMPENDIUM_PDF_2024,02064,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CARDIO,60,,15,60,BEGINNER,BODYWEIGHT,CARDIO_GAIT_BODYWEIGHT_REX_000058,발바닥 전체로 지면이나 발판을 부드럽게 디딥니다|무릎이 안쪽으로 무너지지 않게 발끝과 같은 방향으로 움직입니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벽을 마주보고 어깨 너비만큼 발을 벌려 섭니다 2. 빠르게 다리를 바꾸어 왼쪽 무릎을 가슴 쪽으로 들어 올리고 오른쪽 발을 내립니다 3. 달리는 동작으로 양쪽 다리를 번갈아 가능한 높이까지 들어 올립니다,GYM|HOME,high knee against wall,하이니,quadriceps,GAIT,REPRESENTATIVE,False,,DOMAIN_APPROVED,hamstrings|glutes|calves,HIP|KNEE|ANKLE_FOOT|ABDOMEN,3636,gymvisual,cardio_gait_bodyweight_rex_000058,DURATION,CARDIO,7.5,ADULT_COMPENDIUM_PDF_2024,02020,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CARDIO,60,,15,60,BEGINNER,MACHINE,CARDIO_GAIT_MACHINE,손잡이에 체중을 싣지 않고 상체를 세웁니다|발을 벨트 위에 안정적으로 디디고 속도를 갑자기 바꾸지 않습니다,APPROVED,data/videos/3666-rjiM4L3.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 인클라인 트레드밀의 경사와 속도를 설정하고 손잡이를 가볍게 잡습니다 2. 벨트가 움직이면 발을 번갈아 내디뎌 일정한 리듬으로 달립니다 3. 속도를 낮춘 뒤 발판으로 이동합니다,GYM,walking on incline treadmill,인클라인 트레드밀,quadriceps,GAIT,REPRESENTATIVE,False,,DOMAIN_APPROVED,hamstrings|calves,UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|ABDOMEN,3666,gymvisual,cardio_gait_machine,DURATION,CARDIO,10.3,ADULT_COMPENDIUM_HOME_2024,12255,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CARDIO,60,,15,60,INTERMEDIATE,MACHINE,CARDIO_GAIT_MACHINE_REX_000071,발바닥 전체로 지면이나 발판을 부드럽게 디딥니다|무릎이 안쪽으로 무너지지 않게 발끝과 같은 방향으로 움직입니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 머신 위에 올라가 손잡이를 잡아 몸을 지지합니다 2. 한 발을 계단에 올려놓고 다른 발을 번갈아 올려놓아 걷기를 시작합니다,GYM,walking on stepmill,스텝밀 머신(천국의 계단),quadriceps,GAIT,REPRESENTATIVE,False,,DOMAIN_APPROVED,hamstrings|glutes|calves,WRIST_HAND|HIP|KNEE|ANKLE_FOOT|ABDOMEN,2311,gymvisual,cardio_gait_machine_rex_000071,DURATION,CARDIO,9.3,ADULT_COMPENDIUM_HOME_2024,02065,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,CHAIR_LEG_EXTENDED_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 의자의 끝자리에 앉아서 등을 곧게 펴고 발을 지면에 붙입니다 2. 한쪽 다리를 앞쪽으로 곧게 펼쳐서 발뒤꿈치를 지면에 붙입니다 3. 약간 앞으로 기울어지면서 허벅지 앞쪽이 늘어나는 느낌이 들도록 합니다 4. 반대쪽도 같은 순서로 수행합니다,GYM|HOME,chair leg extended stretch,시티드 레그 익스텐션 스트레칭,hamstrings,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,calves,UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT,1548,gymvisual,chair_leg_extended_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,CHEST_FRONT_SHOULDER_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨 너비로 떨어뜨리고 곧게 선 자세로 시작합니다 2. 부드럽게 어깨 뼈를 함께 짜면서 손을 앞으로 밀어 가슴과 어깨 앞쪽이 늘어나는 느낌이 들도록 합니다,GYM|HOME,chest and front of shoulder stretch,가슴·어깨 앞면 스트레칭,deltoids,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,SHOULDER|ELBOW|CHEST,1271,gymvisual,chest_front_shoulder_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
TRICEPS,60,4,15,,BEGINNER,BODYWEIGHT,PUSH_UP,목을 손으로 당기지 말고 시선은 편안히 위쪽에 둡니다|허리가 과하게 뜨거나 처지지 않게 배 주변에 힘을 줍니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 손을 어깨 바로 아래에 가깝게 놓고 높은 플랭크 자세를 시작합니다 2. 복근을 긴장시키고 지면을 향해 몸을 내려놓되 팔꿈치를 몸에 가깝게 유지합니다 3. 손가락 끝으로 밀어서 팔을 펴고 시작 자세로 돌아갑니다,GYM|HOME,close-grip push-up,클로즈 그립 푸시업,chest,HORIZONTAL_PUSH,VARIANT,False,push_up_horizontal_push_bodyweight,DOMAIN_APPROVED,shoulders,SHOULDER|ELBOW|WRIST_HAND|CHEST|ABDOMEN,0259,gymvisual,close_grip_push_up_horizontal_push_bodyweight,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
QUADRICEPS,60,4,15,,BEGINNER,DUMBBELL,SQUAT,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 어깨너비로 발을 벌리고 서서 덤벨을 양손으로 수직으로 잡아 가슴에 안깁니다 2. 가슴을 위로 유지하고 코어를 조이면서 엉덩이를 뒤로 밀고 무릎을 굽혀 몸을 스쿼트 자세로 내립니다 3. 바닥에서 잠깐 멈춘 후 발꿈치를 밀어 시작 자세로 돌아옵니다,GYM|HOME,dumbbell goblet squat,덤벨 고블릿 스쿼트,glutes,KNEE_DOMINANT,VARIANT,False,bodyweight_squat,DOMAIN_APPROVED,hamstrings|calves,SHOULDER|WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|CHEST|ABDOMEN,1760,gymvisual,dumbbell_goblet_squat_knee_dominant_dumbbell,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
SHOULDERS,60,4,15,,BEGINNER,DUMBBELL,LATERAL_RAISE,허리를 과하게 젖히지 말고 배 주변에 가볍게 힘을 줍니다|팔을 던지듯 움직이지 말고 천천히 올리고 내립니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 어깨 너비만큼 발을 벌리고 각 손에 덤벨을 들되 손가락이 몸 쪽을 향합니다 2. 팔을 옆으로 들어올려 바닥과 평행하게 만들고 팔꿈치에 살짝 구부립니다 3. 정상에서 잠시 멈추었다가 팔을 천천히 시작 자세로 내립니다,GYM|HOME,dumbbell lateral raise,덤벨 레터럴 레이즈,traps,ISOLATION,VARIANT,False,lever_lateral_raise,DOMAIN_APPROVED,,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK,0334,gymvisual,dumbbell_lateral_raise_isolation_dumbbell,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
SHOULDERS,90,4,15,,INTERMEDIATE,DUMBBELL,FRONT_RAISE,허리를 과하게 젖히지 말고 배 주변에 가볍게 힘을 줍니다|팔을 던지듯 움직이지 말고 천천히 올리고 내립니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 어깨 너비만큼 발을 벌리고 각 손에 덤벨을 들되 손가락이 몸 쪽을 향합니다 2. 팔을 옆으로 들어올려 바닥과 평행하게 만들고 팔꿈치에 살짝 구부립니다 3. 정상에서 잠시 멈추었다가 팔을 천천히 시작 자세로 내립니다,GYM|HOME,dumbbell lateral to front raise,덤벨 레터럴 투 프론트 레이즈,traps,ISOLATION,REPRESENTATIVE,False,,DOMAIN_APPROVED,biceps,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK,0335,gymvisual,dumbbell_lateral_to_front_raise_isolation_dumbbell,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
