exercise_id,exercise_name_ko,body_focus_code,primary_body_area_codes,secondary_body_area_codes,proposed_body_focus_code,proposed_difficulty_code,difficulty_code,timing_mode_code,default_sets,default_reps,default_work_seconds,default_rest_seconds,default_transition_seconds,intensity_level,name_ko_status,body_focus_status,body_area_status,difficulty_status,fitt_status,name_ko_basis,body_focus_basis,body_area_basis,difficulty_basis,fitt_basis,catalog_exposure_code,canonical_exercise_id,variant_relation_code,variant_basis,reviewer,reviewed_at,name_en,equipment_code,fitt_template_id,experience_level_code,prescription_unit,min_sets,max_sets,min_reps,max_reps,min_work_seconds,max_work_seconds,default_intensity,fitt_mapping_exception_code,fitt_mapping_note,suggested_movement_pattern,current_training_type
NEX-000011,이두 풀업,BICEPS,"[""ELBOW""]","[""UPPER_BACK"",""WRIST_HAND""]",,INTERMEDIATE,INTERMEDIATE,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=biceps,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination; classify at the highest allowed service difficulty.","운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000011,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,biceps pull-up,BODYWEIGHT|PULL_UP_BAR,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000012,케이블 디클라인 플라이,CHEST,"[""CHEST""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=pectorals,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000012,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable decline fly,CABLE_MACHINE|BENCH,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000013,케이블 디클라인 시티드 와이드그립 로우,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=upper-back,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000013,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable decline seated wide-grip row,CABLE_MACHINE|BENCH,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000014,케이블 바닥 시티드 와이드그립 로우,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=upper-back,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000014,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable floor seated wide-grip row,CABLE_MACHINE,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000015,케이블 하이 로우(니링),BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=upper-back,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000015,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable high row (kneeling),CABLE_MACHINE,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000016,케이블 인클라인 플라이(메디신볼),CHEST,"[""CHEST"",""SHOULDER""]","[""ABDOMEN""]",,INTERMEDIATE,INTERMEDIATE,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=pectorals,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination; classify at the highest allowed service difficulty.","운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000016,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable incline fly (on stability ball),CABLE_MACHINE|BENCH|STABILITY_BALL,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000017,케이블 인클라인 플라이,CHEST,"[""CHEST""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=pectorals,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000017,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable incline fly,CABLE_MACHINE|BENCH,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000018,케이블 라잉 익스텐션 풀오버,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",,INTERMEDIATE,INTERMEDIATE,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=lats,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination.","운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000018,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable lying extension pullover (with rope attachment),CABLE_MACHINE|BENCH|ROPE,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
NEX-000019,케이블 라잉 플라이,CHEST,"[""CHEST""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=pectorals,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000019,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable lying fly,CABLE_MACHINE,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000020,케이블 풀다운,BACK,"[""UPPER_BACK""]","[""ELBOW"",""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=lats,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000020,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable pulldown,CABLE_MACHINE,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000021,케이블 푸시다운,TRICEPS,"[""ELBOW""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=triceps,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000021,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable pushdown,CABLE_MACHINE,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PUSH,STRENGTH
NEX-000022,케이블 리버스-그립 스트레이트 등 시티드 하이 로우,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=upper-back,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000022,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable reverse-grip straight back seated high row,CABLE_MACHINE,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000023,케이블 러시안 트위스트(메디신볼),CORE,"[""ABDOMEN""]","[""LOWER_BACK""]",,INTERMEDIATE,INTERMEDIATE,REPS,2,10,,45-60,,LIGHT_MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=abs,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,"Codex-assisted review: requires baseline form, load/posture control, or free-weight coordination; classify at the highest allowed service difficulty.","운동 전공 검수 반영 코어 기본값. 동적 코어는 횟수형, 정적 코어는 시간형으로 분리하며 통증·재활 처방이 아님; 개인별 자세·진행은 Agent가 조정.",PRIMARY,NEX-000023,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable russian twists (on stability ball),CABLE_MACHINE|STABILITY_BALL,FITT-CORE-DYNAMIC-V1,BEGINNER,REPS,2,2,8,12,,,LIGHT_MODERATE,NONE,동적 코어 운동에 REPS 단위 템플릿 적용.,CORE,STRENGTH
NEX-000024,케이블 시티드 와이드그립 로우,BACK,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",,BEGINNER,BEGINNER,REPS,2,10,,90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=upper-back,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정.",PRIMARY,NEX-000024,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable seated wide-grip row,CABLE_MACHINE,FITT-COMPOUND-PULL-V1,BEGINNER,REPS,2,3,8,12,,,MODERATE,NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,PULL,STRENGTH
NEX-000025,케이블 슈러그,BACK,"[""UPPER_BACK""]","[""SHOULDER""]",,BEGINNER,BEGINNER,REPS,2,12,,60-90,,MODERATE,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,source title converted to Korean draft; Korean localization review required,target=traps,Codex-assisted review: primary records direct force-producing area(s); secondary records assisting or stabilizing area(s).,Codex-assisted review: basic movement in a stable setup with low technical demand for entry-level learners.,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다.",PRIMARY,NEX-000025,NONE,No versioned source-pair decision recorded.,codex-assisted-review,2026-08-24T12:36:10+09:00,cable shrug,CABLE_MACHINE,FITT-ISOLATION-STRENGTH-V1,BEGINNER,REPS,2,2,10,15,,,MODERATE,NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,PULL,STRENGTH
