source_identity,stable_code,previous_body_focus_code,new_body_focus_code,change_type
0748,smith_bench_press,CHEST,CHEST,UNCHANGED
0749,smith_bent_knee_good_morning,GLUTES,GLUTES,UNCHANGED
0751,smith_close_grip_bench_press,TRICEPS,TRICEPS,UNCHANGED
0760,smith_leg_press,GLUTES,GLUTES,UNCHANGED
0761,smith_narrow_row,BACK,BACK,UNCHANGED
0768,smith_single_leg_split_squat,QUADRICEPS,QUADRICEPS,UNCHANGED
0769,smith_sprint_lunge,GLUTES,GLUTES,UNCHANGED
0798,stationary_bike_walk,CARDIO,CARDIO,UNCHANGED
0856,weighted_svend_press,CHEST,CHEST,UNCHANGED
1001,band_single_leg_split_squat,QUADRICEPS,QUADRICEPS,UNCHANGED
1259,behind_head_chest_stretch,CHEST,CHEST,UNCHANGED
1297,isometric_chest_squeeze,CHEST,CHEST,UNCHANGED
1358,side_lying_floor_stretch,MOBILITY,MOBILITY,UNCHANGED
1362,sphinx,MOBILITY,MOBILITY,UNCHANGED
1366,upward_facing_dog,MOBILITY,MOBILITY,UNCHANGED
1388,peroneals_stretch,MOBILITY,MOBILITY,UNCHANGED
1389,posterior_tibialis_stretch,MOBILITY,MOBILITY,UNCHANGED
1397,standing_calves,MOBILITY,MOBILITY,UNCHANGED
1407,calf_push_stretch_with_hands_against_wall,MOBILITY,MOBILITY,UNCHANGED
1419,iron_cross_stretch,MOBILITY,MOBILITY,UNCHANGED
1423,reverse_hyper_on_flat_bench,GLUTES,GLUTES,UNCHANGED
1430,chest_dip_on_dip_pull_up_cage,CHEST,CHEST,UNCHANGED
1432,assisted_standing_pull_up,BACK,BACK,UNCHANGED
1460,walking_lunge,GLUTES,GLUTES,UNCHANGED
1476,one_leg_squat,GLUTES,GLUTES,UNCHANGED
1564,intermediate_hip_flexor_and_quad_stretch,MOBILITY,MOBILITY,UNCHANGED
1687,posterior_step_to_overhead_reach,CORE,CORE,UNCHANGED
1689,push_and_pull_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1700,dumbbell_push_press,SHOULDERS,SHOULDERS,UNCHANGED
1771,bodyweight_kneeling_triceps_extension,TRICEPS,TRICEPS,UNCHANGED
2133,farmers_walk,QUADRICEPS,QUADRICEPS,UNCHANGED
2138,stationary_bike_run,CARDIO,CARDIO,UNCHANGED
2141,walk_elliptical_cross_trainer,CARDIO,CARDIO,UNCHANGED
2203,foam_roller_hamstring_stretch,MOBILITY,MOBILITY,UNCHANGED
2204,foam_roller_thigh_stretch,MOBILITY,MOBILITY,UNCHANGED
2205,foam_roller_outer_thigh_stretch_2205,MOBILITY,MOBILITY,UNCHANGED
2206,foam_roller_calf_stretch_2206,MOBILITY,MOBILITY,UNCHANGED
2207,foam_roller_outer_thigh_stretch_2207,MOBILITY,MOBILITY,UNCHANGED
2209,foam_roller_calf_stretch_2209,MOBILITY,MOBILITY,UNCHANGED
2271,left_hook_boxing,CARDIO,CARDIO,UNCHANGED
2398,close_grip_push_up_on_knees,TRICEPS,TRICEPS,UNCHANGED
2571,rocking_frog_stretch,MOBILITY,MOBILITY,UNCHANGED
3006,resistance_band_seated_hip_abduction,GLUTES,GLUTES,UNCHANGED
3007,resistance_band_leg_extension,QUADRICEPS,QUADRICEPS,UNCHANGED
3011,incline_scapula_push_up,SHOULDERS,SHOULDERS,UNCHANGED
3016,curl_up,CORE,CORE,UNCHANGED
3147,pelvic_tilt,CORE,CORE,UNCHANGED
3195,lever_lying_two_one_leg_curl,HAMSTRINGS,HAMSTRINGS,UNCHANGED
3201,quarter_sit_up,CORE,CORE,UNCHANGED
3220,astride_jumps_male,CARDIO,CARDIO,UNCHANGED
3221,half_knee_bends_male,CARDIO,CARDIO,UNCHANGED
3231,two_toe_touch_male,MOBILITY,MOBILITY,UNCHANGED
3239,kneeling_plank_tap_shoulder_male,CORE,CORE,UNCHANGED
3533,quads,QUADRICEPS,QUADRICEPS,UNCHANGED
3544,bodyweight_incline_side_plank,CORE,CORE,UNCHANGED
3552,quick_feet,QUADRICEPS,QUADRICEPS,UNCHANGED
3640,knee_touch_crunch,CORE,CORE,UNCHANGED
3645,single_leg_bridge_with_outstretched_leg,GLUTES,GLUTES,UNCHANGED
3656,short_stride_run,CARDIO,CARDIO,UNCHANGED
3662,pike_to_cobra_push_up,GLUTES,GLUTES,UNCHANGED
3667,side_lying_hip_adduction_male,,ADDUCTORS,FILLED
3671,ski_step,CARDIO,CARDIO,UNCHANGED
3769,curtsey_squat,GLUTES,GLUTES,UNCHANGED
